"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2436918","RESIDENTIAL","Single Family Residence","3320 Lacewing Drive","Zebulon","27597",,"Weavers Pond","3","3","2,455","0-.25 Acres","2018","3/17/2022","4/28/2022","9","$400,000","$430,500"
"121921","RESIDENTIAL","Single Family Residence","2131 (Lot Crosswind Drive","Graham","27253",,,"4","4","0",".76-.99 Acres","2021","12/27/2021","5/12/2022","2","$430,553","$430,553"
"2408778","RESIDENTIAL","Single Family Residence","180 Centerline Drive","Selma","27576",,"Eastover","4","3","3,140",".26-.5 Acres","2022","9/19/2021","5/17/2022","0","$430,700","$430,700"
"2421704","RESIDENTIAL","Single Family Residence","279 Berg Street","Smithfield","27577",,"Fairwinds","3","3","2,865","1-2.9 Acres","2021","12/3/2021","6/24/2022","0","$429,900","$430,730"
"2440122","RESIDENTIAL","Single Family Residence","505 Ashebrook Drive","Raleigh","27609",,"Ashebrook","3","2","1,398",".26-.5 Acres","1980","3/31/2022","5/11/2022","2","$425,000","$431,000"
"2441025","RESIDENTIAL","Single Family Residence","530 Misty Willow Way","Rolesville","27571",,"Granite Crest","4","3","2,606",".26-.5 Acres","2007","4/7/2022","5/23/2022","2","$395,000","$431,000"
"2445664","RESIDENTIAL","Single Family Residence","7817 Foxwood Drive","Raleigh","27615",,"Mine Valley","3","2","1,596",".26-.5 Acres","1984","4/29/2022","6/13/2022","3","$389,900","$431,000"
"2434134","RESIDENTIAL","Single Family Residence","1520 Lake Louise Lane","Fuquay Varina","27526-4468",,"Lakestone Village","3","3","1,801",".26-.5 Acres","2010","3/1/2022","4/5/2022","2","$350,000","$431,000"
"2433635","RESIDENTIAL","Townhouse","3409 Van Hessen Drive","Raleigh","27614",,"Bedford","3","3","1,984","0-.25 Acres","2004","2/27/2022","4/14/2022","6","$350,000","$431,000"
"2436653","RESIDENTIAL","Single Family Residence","3519 Edgeside Court","Fayetteville","28303",,"Woodlands","4","3","2,565",".26-.5 Acres","1988","3/16/2022","5/16/2022","2","$390,000","$431,000"
"2439820","RESIDENTIAL","Single Family Residence","4112 Riverport Road","Raleigh","27616",,"Willow Lake","3","3","1,761","0-.25 Acres","1999","4/1/2022","5/4/2022","3","$395,000","$431,000"
"LP680287","RESIDENTIAL","Single Family Residence","8331 Whitewood Court","Linden","28356",,"Riverwood","4","3","0","1-2.9 Acres","2018","3/13/2022","4/27/2022","10","$449,000","$431,000"
"2437366","RESIDENTIAL","Townhouse","455 Great Eno Path","Hillsborough","27278",,"Waterstone","3","2","1,930","0-.25 Acres","2020","3/18/2022","4/29/2022","2","$425,000","$431,000"
"2445440","RESIDENTIAL","Townhouse","773 Great Eno Path","Hillsborough","27278",,"Waterstone","3","3","1,918","0-.25 Acres","2019","4/28/2022","5/20/2022","7","$431,000","$431,000"
"2443028","RESIDENTIAL","Single Family Residence","829 E Hargett Street","Raleigh","27601",,"Cotton Place","2","1","1,004","0-.25 Acres","1948","4/18/2022","5/10/2022","0","$430,000","$431,000"
"2436923","RESIDENTIAL","Townhouse","302 Old Grove Lane","Apex","27502",,"Center Street Station","3","4","1,850","0-.25 Acres","2021","3/17/2022","5/2/2022","0","$431,000","$431,000"
"LP680395","RESIDENTIAL","Single Family Residence","3519 Edgeside Court","Fayetteville","28303",,"Woodlands","4","3","0",,"1988","3/14/2022","5/11/2022","8","$390,000","$431,000"
"123160","RESIDENTIAL","Single Family Residence","3235 Brookstone Drive","Burlington","27215",,,"3","2","0",".26-.5 Acres","2005","5/9/2022","6/29/2022","5","$375,000","$431,100"
"2447884","RESIDENTIAL","Single Family Residence","3235 Brookstone Drive","Burlington","27215",,"Heritage Glen","3","2","1,700",".26-.5 Acres","2005","5/9/2022","6/29/2022","1","$375,000","$431,100"
"2411054","RESIDENTIAL","Townhouse","319 Kephart Way","Holly Springs","27540",,"Honeycutt Farm","3","3","2,020","0-.25 Acres","2022","10/1/2021","5/24/2022","0","$431,101","$431,101"
"2442468","RESIDENTIAL","Single Family Residence","1002 Country Club Drive","Durham","27712",,"Country Club Heights","3","2","1,934",".26-.5 Acres","2001","4/14/2022","6/23/2022","2","$435,000","$431,300"
"2434373","RESIDENTIAL","Single Family Residence","336 Hawkesburg Drive","Clayton","27527",,"Stone Ridge","4","3","2,263","0-.25 Acres","2019","3/3/2022","4/6/2022","1","$385,000","$431,500"
"2429065","RESIDENTIAL","Single Family Residence","407 Forestview Crest Way","Fuquay Varina","27526",,"Highland Forest","4","3","1,880","0-.25 Acres","2022","1/30/2022","4/25/2022","0","$431,500","$431,500"
"2452628","RESIDENTIAL","Single Family Residence","1316 Lowenstein Street","Wake Forest","27587",,"Richland Hills","4","3","2,000",".26-.5 Acres","2015","6/1/2022","6/29/2022","5","$415,000","$431,500"
"2443424","RESIDENTIAL","Single Family Residence","5 Briarfield Court","Durham","27713",,"Woodcroft","3","2","1,400","0-.25 Acres","1985","4/16/2022","5/27/2022","3","$365,000","$431,500"
"2399535","RESIDENTIAL","Single Family Residence","20 Cabarrus Way","Clayton","27527",,"The Walk at East Village","4","3","2,560","0-.25 Acres","2021","8/3/2021","5/25/2022","0","$423,165","$431,765"
"2411064","RESIDENTIAL","Townhouse","313 Kephart Way","Holly Springs","27540",,"Honeycutt Farm","3","3","2,020","0-.25 Acres","2022","10/1/2021","5/25/2022","0","$431,915","$431,915"
