"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2541332","RESIDENTIAL","Single Family Residence","434 Hidden Treasure Drive","Durham","27712",,"Madison Glen","5","4","2,741","0-.25 Acres","2010","11/8/2023","1/31/2024","51","$498,000","$498"
"10007711","RESIDENTIAL","Ranch","0 Greentown Avenue","Warrenton","27589",,"Not in a Subdivision","0","0","800",".76-.99 Acres","1990","1/23/2024","3/14/2024","29","$12,000","$5,000"
"LP719635","RESIDENTIAL","Single Family Residence","2016 Center Street","Fayetteville","28306",,,"3","1","0","0-.25 Acres","1940","2/12/2024","3/19/2024","16","$40,000","$12,000"
"2539217","RESIDENTIAL","Single Family Residence","915 E Holly Street","Rocky Mount","27801",,"Not in a Subdivision","2","1","936","0-.25 Acres","1955","10/26/2023","1/5/2024","53","$29,000","$20,000"
"LP714886","RESIDENTIAL","Single Family Residence","816 E Orange Street","Fayetteville","28301",,,"3","1","0","0-.25 Acres","1948","10/20/2023","3/1/2024","107","$30,000","$20,000"
"LP717030","RESIDENTIAL","Other","116 Beth Drive","Lumberton","28358",,,"3","2","0",".26-.5 Acres","1980","12/11/2023","1/3/2024","2","$15,000","$20,000"
"10006452","RESIDENTIAL","Single Family Residence","646 Warrenton Road","Henderson","27537",,"Not in a Subdivision","2","1","1,124",".26-.5 Acres","1945","1/16/2024","2/8/2024","0","$29,500","$20,000"
"LP702341","RESIDENTIAL","Single Family Residence","234 Page Street","Lumberton","28358",,,"2","1","0","0-.25 Acres","1940","5/1/2023","1/29/2024","60","$49,000","$21,000"
"10001270","RESIDENTIAL","Single Family Residence","422 Doc Brown Road","Raeford","28376",,,"1","1","568","0-.25 Acres","1968","12/7/2023","1/8/2024","8","$25,000","$22,000"
"LP714891","RESIDENTIAL","Single Family Residence","832 E Orange Street","Fayetteville","28301",,,"3","1","0","0-.25 Acres","1937","10/20/2023","1/25/2024","71","$20,000","$25,000"
"LP718295","RESIDENTIAL","Single Family Residence","110 Front Street","Lumberton","28358",,,"3","1","0",,"1940","1/13/2024","3/21/2024","55","$38,900","$31,250"
"LP717986","RESIDENTIAL","Single Family Residence","509 Hobbs Street","Roseboro","28382",,"Roseboro","2","1","0",,"1942","12/20/2023","2/14/2024","24","$40,000","$34,000"
