"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"LP649830","RESIDENTIAL","Single Family Residence","2263 Shaw Rd Extension","Fayetteville","28311",,,"3","1","0",,"1977","2/9/2021","3/11/2021","9","$79,900","$79"
"2354950","RESIDENTIAL","Single Family Residence","97 Allie Clay Road","Roxboro","27573",,"Not in a Subdivision","3","1","1,118",".51-.75 Acres","1934","11/22/2020","1/12/2021","13","$40,000","$15,000"
"LP630668","RESIDENTIAL","Manufactured","146 Ralph Hunt Boulevard","Orrum","28369",,,"3","2","0",,"1995","4/21/2020","2/1/2021","254","$36,000","$17,000"
"LP630661","RESIDENTIAL","Manufactured","163 Ralph Hunt Boulevard","Orrum","28369",,,"3","2","0",,"1998","4/21/2020","2/1/2021","254","$29,000","$17,000"
"LP624150","RESIDENTIAL","Single Family Residence","405 Mcleod Road","Red Springs","28377",,,"2","1","0",,"1940","1/7/2020","1/25/2021","357","$22,000","$18,500"
"2365371","RESIDENTIAL","Manufactured","921 West Street","Smithfield","27577",,"Not in a Subdivision","3","1","650","0-.25 Acres","1972","2/5/2021","3/26/2021","1","$20,000","$20,000"
"LP630389","RESIDENTIAL","Manufactured","555 Ralph Hunt Boulevard","Orrum","28369",,,"3","2","0",,"1998","4/14/2020","2/1/2021","261","$38,500","$20,000"
"LP630671","RESIDENTIAL","Manufactured","82 Ralph Hunt Boulevard","Orrum","28369",,,"3","2","0",,"1997","4/21/2020","2/1/2021","254","$39,000","$20,000"
"LP648914","RESIDENTIAL","Single Family Residence","216 Register Street","Sanford","27330",,"Hillcrest","0","0","0",,"1930","1/21/2021","2/10/2021","12","$34,000","$20,000"
"116488","RESIDENTIAL","Single Family Residence","413 NE Market Street","Reidsville","27320",,,"2","2","0",".51-.75 Acres","1900","2/11/2021","3/26/2021","25","$31,500","$22,000"
"LP651844","RESIDENTIAL","Single Family Residence","4771 N Shannon Road","Shannon","28386",,,"3","1","0",,"2001","3/2/2021","3/19/2021","7","$20,000","$22,000"
"2355534","RESIDENTIAL","Single Family Residence","710 Water Street","Henderson","27536",,"Not in a Subdivision","2","1","1,012","0-.25 Acres","1984","11/29/2020","1/15/2021","17","$40,000","$24,000"
"2360306","RESIDENTIAL","Single Family Residence","1918 Powell Street","Fayetteville","28306",,"Not in a Subdivision","2","1","859","0-.25 Acres","1940","1/6/2021","1/22/2021","5","$25,000","$24,000"
"LP649755","RESIDENTIAL","Manufactured","191 Hoppy Drive","Orrum","28369",,,"3","2","0",,"1998","2/5/2021","2/24/2021","12","$25,000","$25,000"
"2301316","RESIDENTIAL","Single Family Residence","505 Ivey Street","Henderson","27536",,"Not in a Subdivision","3","2","1,100",".51-.75 Acres","1958","2/11/2020","2/5/2021","309","$39,000","$25,000"
"2300217","RESIDENTIAL","Single Family Residence","877 Lamb Street","Henderson","27536",,"Not in a Subdivision","3","1","1,086","0-.25 Acres","1950","2/5/2020","2/5/2021","315","$35,000","$25,000"
"2357601","RESIDENTIAL","Single Family Residence","310 Hall Avenue","Burlington","27217",,"Not in a Subdivision","3","1","1,414","0-.25 Acres","1919","12/12/2020","2/25/2021","8","$29,900","$25,000"
"2369657","RESIDENTIAL","Single Family Residence","504 SE New Bern Street","Wilson","27893",,"Not in a Subdivision","3","1","1,395","0-.25 Acres","1945","3/2/2021","3/16/2021","2","$29,900","$25,000"
"2355248","RESIDENTIAL","Single Family Residence","722 Eaton Street","Henderson","27536",,"Not in a Subdivision","4","3","1,675","0-.25 Acres","1955","11/24/2020","1/6/2021","30","$38,000","$26,000"
"2365135","RESIDENTIAL","Single Family Residence","324 Arch Street","Henderson","27536",,"Not in a Subdivision","3","1","1,192","0-.25 Acres","1952","2/4/2021","2/25/2021","12","$29,900","$26,000"
"LP646867","RESIDENTIAL","Single Family Residence","105 N 3rd Street","Maxton","28364",,,"3","1","0",,"1961","12/4/2020","3/30/2021","56","$34,500","$27,500"
"2359866","RESIDENTIAL","Single Family Residence","305 E Cleveland Street","Dunn","28334",,"Not in a Subdivision","1","1","624","0-.25 Acres","1940","1/3/2021","1/27/2021","4","$30,000","$28,000"
"2355313","RESIDENTIAL","Single Family Residence","124 E Railroad Street","La Grange","28551",,"Not in a Subdivision","4","2","2,986",".51-.75 Acres","1901","11/25/2020","1/22/2021","15","$34,900","$28,001"
"LP646476","RESIDENTIAL","Single Family Residence","9141 Old Wire Road","Laurel Hill","28351",,,"2","1","0",".26-.5 Acres","1955","11/18/2020","1/15/2021","14","$24,900","$28,100"
"2359845","RESIDENTIAL","Single Family Residence","207 N Jackson Street","Dunn","28334",,"Not in a Subdivision","1","1","576","0-.25 Acres","1950","1/3/2021","1/13/2021","2","$29,736","$28,500"
"2370935","RESIDENTIAL","Single Family Residence","3567 N NC 49 Highway","Burlington","27217",,"Not in a Subdivision","2","1","640",".26-.5 Acres","1960","3/8/2021","3/30/2021","14","$39,000","$30,000"
"116660","RESIDENTIAL","Single Family Residence","3567 N Nc Highway 49","Burlington","27217",,,"2","1","0",".26-.5 Acres","1960","3/8/2021","3/30/2021","14","$39,000","$30,000"
"113981","RESIDENTIAL","Single Family Residence","322 S Branch Street","Reidsville","27320",,,"2","2","0","0-.25 Acres","1930","12/17/2020","1/14/2021","5","$35,900","$30,000"
"2365366","RESIDENTIAL","Single Family Residence","919 West Street","Smithfield","27577",,"Not in a Subdivision","3","1","675","0-.25 Acres","1950","2/5/2021","3/26/2021","1","$30,000","$30,000"
"LP649196","RESIDENTIAL","Manufactured","89 Oneida Street","Pembroke","28372",,,"3","2","0",,"1998","1/25/2021","2/1/2021","1","$30,000","$30,000"
"LP647782","RESIDENTIAL","Single Family Residence","12224 Highway 210","Spring Lake","28390",,,"3","2","0",,"1957","12/21/2020","3/19/2021","33","$49,000","$30,000"
"LP646608","RESIDENTIAL","Manufactured","48 Lemonbalm Drive","Elizabethtown","28337",,,"4","2","0",,"2000","11/22/2020","1/13/2021","30","$32,500","$30,100"
"2358777","RESIDENTIAL","Single Family Residence","313 Zene Street","Henderson","27536",,"Not in a Subdivision","3","1","1,564","0-.25 Acres","1950","12/21/2020","2/24/2021","36","$49,900","$32,000"
"2365118","RESIDENTIAL","Single Family Residence","611 Breckenridge Street","Henderson","27536",,"Not in a Subdivision","3","1","974","0-.25 Acres","1950","2/4/2021","3/15/2021","7","$37,500","$32,000"
"2360313","RESIDENTIAL","Single Family Residence","1905 Overlook Drive","Fayetteville","28301",,"Not in a Subdivision","3","1","1,078","0-.25 Acres","1945","1/6/2021","1/26/2021","5","$25,000","$32,000"
