"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"LP651935","RESIDENTIAL","Manufactured","3045 Bridgers Road","Rowland","28383",,,"3","2","0","3-5.9 Acres","1974","3/1/2021","7/9/2021","110","$25,000","$2,500"
"2401749","RESIDENTIAL","Single Family Residence","825 N Main Street","Warrenton","27589",,"Not in a Subdivision","1","1","988","0-.25 Acres","1943","8/14/2021","9/3/2021","1","$12,000","$10,000"
"2392138","RESIDENTIAL","Single Family Residence","611 Washington Street","Roanoke Rapids","27870",,"Not in a Subdivision","3","3","1,724","0-.25 Acres","1907","6/25/2021","7/16/2021","17","$15,000","$12,000"
"2398327","RESIDENTIAL","Single Family Residence","816 Pender Street","Rocky Mount","27801",,"Not in a Subdivision","3","1","1,609","0-.25 Acres","1900","7/28/2021","9/22/2021","22","$19,900","$12,900"
"LP630664","RESIDENTIAL","Manufactured","242 Ralph Hunt Boulevard","Orrum","28369",,,"3","2","0",,"2001","4/21/2020","9/17/2021","300","$48,000","$17,000"
"LP630394","RESIDENTIAL","Manufactured","21 Ralph Hunt Boulevard","Orrum","28369",,,"4","3","0",,"1998","4/14/2020","9/17/2021","307","$32,000","$17,000"
"2401075","RESIDENTIAL","Single Family Residence","926 E Nash Street","Spring Hope","27882",,"Not in a Subdivision","3","1","952","0-.25 Acres","1955","8/11/2021","9/3/2021","3","$20,000","$18,000"
"2382275","RESIDENTIAL","Single Family Residence","206 Community Road","Eagle Springs","27242",,"Not in a Subdivision","3","1","720",".26-.5 Acres","1940","5/6/2021","7/23/2021","42","$30,000","$20,000"
"2388105","RESIDENTIAL","Manufactured","268 Pruitt Road","Pelham","27311",,"Not in a Subdivision","3","1","864",".76-.99 Acres","1971","6/4/2021","9/3/2021","53","$28,000","$20,000"
"LP659656","RESIDENTIAL","Single Family Residence","140 Starlite Drive","Lumberton","28358",,,"3","1","0","0-.25 Acres","1961","6/16/2021","7/8/2021","5","$20,000","$21,000"
"2401628","RESIDENTIAL","Single Family Residence","506 Broad Street","Wilson","27893",,"Not in a Subdivision","3","1","2,156","0-.25 Acres","1925","8/13/2021","8/30/2021","3","$19,900","$25,000"
"2389672","RESIDENTIAL","Single Family Residence","5809 Holland Street","Fayetteville","28311-1741","Shaw Heights","Not in a Subdivision","3","1","704",".26-.5 Acres","1952","6/14/2021","8/5/2021","19","$30,000","$27,000"
