"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2464632","RESIDENTIAL","Single Family Residence","207 E Kornegay Drive","Mount Olive","28365",,"Brogden","2","1","792",".76-.99 Acres","1900","7/24/2022","8/30/2022","8","$20,000","$15,000"
"LP688662","RESIDENTIAL","Manufactured","396 Ralph Hunt Boulevard","Orrum","28369",,,"2","2","0",,"0","7/25/2022","9/10/2022","2","$19,000","$15,000"
"2461997","RESIDENTIAL","Single Family Residence","519 Baltimore Road","Warrenton","27589",,"Not in a Subdivision","0","0","816",".26-.5 Acres","1930","7/12/2022","9/20/2022","28","$35,000","$15,800"
"2406084","RESIDENTIAL","Single Family Residence","1116 E King Street","Kinston","28501",,"Not in a Subdivision","2","1","1,160",".26-.5 Acres","1901","9/4/2021","8/8/2022","279","$20,000","$16,000"
"2448417","RESIDENTIAL","Single Family Residence","832 N Center Street","Goldsboro","27530",,"Not in a Subdivision","2","1","1,021","0-.25 Acres","1949","5/9/2022","8/22/2022","30","$17,310","$17,310"
"2454655","RESIDENTIAL","Single Family Residence","1023 Mercer Street","Wilson","27893",,"Not in a Subdivision","2","1","651","0-.25 Acres","1925","6/9/2022","7/14/2022","18","$19,900","$19,900"
"2465644","RESIDENTIAL","Single Family Residence","1209 Beckman Street","Rocky Mount","27801",,"Hillsdale","3","2","984",".26-.5 Acres","1950","7/29/2022","8/15/2022","1","$22,500","$20,000"
"2464757","RESIDENTIAL","Single Family Residence","903 Viola Street E","Wilson","27893",,"Railroad Ward","2","1","785","0-.25 Acres","1930","7/26/2022","8/23/2022","10","$25,000","$23,000"
"2450383","RESIDENTIAL","Single Family Residence","707 Edmondson Avenue","Tarboro","27886",,"Not in a Subdivision","3","1","935","0-.25 Acres","1960","5/19/2022","7/13/2022","35","$30,000","$24,000"
"2466131","RESIDENTIAL","Single Family Residence","1700 Queen Street","Wilson","27893",,"Not in a Subdivision","2","1","550","0-.25 Acres","1945","8/2/2022","9/8/2022","20","$35,000","$24,000"
"2467786","RESIDENTIAL","Single Family Residence","917 Gay Street","Rocky Mount","27804",,"Not in a Subdivision","3","1","986","0-.25 Acres","1937","8/9/2022","8/25/2022","0","$25,000","$25,000"
"LP681315","RESIDENTIAL","Single Family Residence","1704 Martin Luther King Drive","Elizabethtown","28337",,,"2","1","0",,"1956","4/1/2022","8/16/2022","12","$45,000","$25,000"
"2462260","RESIDENTIAL","Single Family Residence","307 Elba Street","Wilson","27893",,"Not in a Subdivision","2","1","979","0-.25 Acres","1940","7/14/2022","7/29/2022","5","$25,000","$27,000"
"2450367","RESIDENTIAL","Single Family Residence","1901 Martin Luther King Jr Drive","Lumberton","28358",,"Sandy Grove","3","1","1,284","0-.25 Acres","1959","5/19/2022","7/7/2022","43","$30,000","$27,000"
"2471563","RESIDENTIAL","Single Family Residence","305 Garris Street","Ayden","28513",,"Jackson","2","1","732","0-.25 Acres","1947","8/30/2022","9/23/2022","12","$40,000","$29,000"
"2469919","RESIDENTIAL","Single Family Residence","1120 Newsome Street","Tarboro","27886",,"Hope Farm","2","1","814",".26-.5 Acres","1961","8/20/2022","9/13/2022","6","$48,000","$31,500"
"2473821","RESIDENTIAL","Single Family Residence","5114 George Miles Road","Burlington","27217",,"Not in a Subdivision","3","1","750","1-2.9 Acres","1964","9/12/2022","9/29/2022","2","$30,000","$32,000"
"124594","RESIDENTIAL","Single Family Residence","5114 George Miles Road","Burlington","27217",,,"3","1","0","1-2.9 Acres","1964","9/9/2022","9/29/2022","5","$30,000","$32,000"
"LP687463","RESIDENTIAL","Single Family Residence","1127 S Church Street","Rocky Mount","27803",,,"3","1","0","0-.25 Acres","1910","7/1/2022","7/26/2022","10","$40,000","$33,000"
"2470719","RESIDENTIAL","Manufactured","655 5th Street","Siler City","27344",,"To Be Added","2","1","6",".26-.5 Acres","1993","8/25/2022","9/9/2022","3","$68,000","$34,000"
"2488392","RESIDENTIAL","Single Family Residence","3121 Holloway Street","Durham","27703",,"Not in a Subdivision","3","1","1,376",".51-.75 Acres","1933","3/7/2022","9/9/2022","0","$35,000","$35,000"
"LP686796","RESIDENTIAL","Single Family Residence","200 Jasper Street","Fayetteville","28301",,,"2","1","0",,"1955","6/18/2022","8/1/2022","11","$39,000","$35,000"
"2465272","RESIDENTIAL","Single Family Residence","901 Branch Street","Rocky Mount","27801",,"Not in a Subdivision","3","1","1,032","0-.25 Acres","1910","7/27/2022","8/22/2022","6","$36,000","$36,000"
"2466081","RESIDENTIAL","Single Family Residence","1616 Freeman Street","Wilson","27893",,"Not in a Subdivision","2","1","952","0-.25 Acres","1925","8/2/2022","8/26/2022","15","$35,000","$37,000"
"2469107","RESIDENTIAL","Single Family Residence","319 North Avenue","Sanford","27330-4453",,"Not in a Subdivision","3","1","1,246","0-.25 Acres","1930","8/17/2022","9/7/2022","5","$40,000","$40,000"
"2448401","RESIDENTIAL","Single Family Residence","416 E Woodrow Street","Goldsboro","27530",,"Not in a Subdivision","2","1","1,056","0-.25 Acres","1940","5/9/2022","7/13/2022","26","$50,760","$40,000"
"2469920","RESIDENTIAL","Single Family Residence","2501 Parker Street","Tarboro","27886",,"Hope Farm","2","1","1,203",".26-.5 Acres","1961","8/20/2022","9/13/2022","6","$48,000","$40,000"
"2433082","RESIDENTIAL","Single Family Residence","212 S Tillery Street","Rocky Mount","27804",,"Not in a Subdivision","2","1","1,860","0-.25 Acres","1950","2/24/2022","7/20/2022","62","$49,500","$41,000"
"LP690139","RESIDENTIAL","Single Family Residence","610 School Street","Fayetteville","28301",,,"3","1","0",,"1920","8/2/2022","9/19/2022","28","$45,000","$42,000"
"2447075","RESIDENTIAL","Single Family Residence","1502 Washington E St","Wilson","27893",,"Wilson","3","1","1,025","0-.25 Acres","1979","5/5/2022","7/21/2022","74","$60,000","$45,000"
"2457884","RESIDENTIAL","Manufactured","2125 Maxton Street","Autryville","28318",,"Not in a Subdivision","2","2","1,560","1-2.9 Acres","1984","6/22/2022","7/25/2022","7","$45,000","$45,000"
"2488393","RESIDENTIAL","Duplex","3125 Holloway Street","Durham","27703",,"Not in a Subdivision","4","3","2,091",".26-.5 Acres","1966","3/7/2022","9/9/2022","0","$45,000","$45,000"
"2465563","RESIDENTIAL","Single Family Residence","146 Maple Street","Roxboro","27573",,"Not in a Subdivision","2","1","1,388",".26-.5 Acres","1906","7/29/2022","8/11/2022","3","$50,000","$45,000"
"124456","RESIDENTIAL","Single Family Residence","908 Durham Street","Burlington","27217",,,"2","1","0","0-.25 Acres","1950","8/25/2022","9/27/2022","19","$52,000","$45,000"
"2449736","RESIDENTIAL","Single Family Residence","1619 Martin Luther King Jr Parkway","Wilson","27893",,"Not in a Subdivision","3","1","1,411","0-.25 Acres","1925","5/16/2022","7/19/2022","20","$43,000","$45,000"
"2448353","RESIDENTIAL","Single Family Residence","552 High Street","Henderson","27536",,"Not in a Subdivision","2","1","734","0-.25 Acres","1950","5/11/2022","8/1/2022","47","$59,000","$45,000"
"2464467","RESIDENTIAL","Single Family Residence","1001 Southern Avenue","Fayetteville","28306",,"Not in a Subdivision","3","2","1,373","0-.25 Acres","1935","7/25/2022","9/9/2022","6","$65,000","$46,000"
"2449412","RESIDENTIAL","Single Family Residence","1006 Edgerton Street","Goldsboro","27530",,"Not in a Subdivision","2","1","896","0-.25 Acres","1952","5/11/2022","8/5/2022","7","$47,500","$47,000"
"LP681780","RESIDENTIAL","Manufactured","301 Southern Avenue","Other","28119",,,"3","2","0",,"1994","4/11/2022","8/12/2022","87","$53,999","$47,000"
"2450499","RESIDENTIAL","Single Family Residence","911 Mint Avenue","High Point","27260",,"Not in a Subdivision","2","1","848",".26-.5 Acres","1977","5/20/2022","7/26/2022","66","$69,999","$48,500"
"2467432","RESIDENTIAL","Manufactured","4201 River Run Drive","Sanford","27332",,"River Run","3","2","1,242",".51-.75 Acres","1988","8/8/2022","8/24/2022","2","$49,900","$49,900"
"2399724","RESIDENTIAL","Single Family Residence","2456 W NC 24 Highway","Warsaw","28398",,"Not in a Subdivision","2","1","1,020","1-2.9 Acres","1965","8/4/2021","7/7/2022","56","$95,000","$50,000"
"2451840","RESIDENTIAL","Single Family Residence","707 Washington Street","Elizabeth City","27909",,"Not in a Subdivision","3","2","1,800","0-.25 Acres","1976","5/26/2022","8/31/2022","42","$40,000","$50,000"
"LP684793","RESIDENTIAL","Single Family Residence","210 E Eighth Avenue","Red Springs","28377",,,"2","1","0",,"1963","5/16/2022","8/26/2022","56","$59,990","$50,000"
"2464233","RESIDENTIAL","Single Family Residence","271 Decatur Road","Fayetteville","28303",,"LaGrange","3","1","1,160",".26-.5 Acres","1965","7/22/2022","8/9/2022","3","$60,000","$50,000"
"2462963","RESIDENTIAL","Single Family Residence","712 Martin Luther King Jr Boulevard","Siler City","27344",,"Not in a Subdivision","1","1","755","0-.25 Acres","1930","7/17/2022","8/4/2022","5","$45,000","$50,000"
"2356272","RESIDENTIAL","Single Family Residence","6824 Martin Street","Wendell","27591",,"Not in a Subdivision","1","1","1,000","0-.25 Acres","1920","12/2/2020","7/28/2022","541","$50,000","$50,001"
