"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2426827","RESIDENTIAL","Single Family Residence","121 Shirley Drive","Norlina","27563",,"Not in a Subdivision","2","1","840",".51-.75 Acres","1942","1/12/2022","3/23/2022","12","$11,900","$6,000"
"LP667284","RESIDENTIAL","Single Family Residence","5749 Holland Street","Fayetteville","28311",,,"3","1","0",,"1959","9/2/2021","2/8/2022","15","$25,000","$18,000"
"2421823","RESIDENTIAL","Single Family Residence","621 Lincoln Drive","Kenly","27452",,"Englewood","2","1","1,000","0-.25 Acres","1980","12/3/2021","1/14/2022","6","$7,856","$20,000"
"LP667107","RESIDENTIAL","Single Family Residence","1612 North Street","Fayetteville","28301",,,"2","1","0",,"1942","8/31/2021","1/4/2022","106","$30,900","$22,000"
"120263","RESIDENTIAL","Single Family Residence","385 Parkway Drive","Yanceyville","27379",,,"2","1","0","0-.25 Acres","1940","10/18/2021","2/4/2022","26","$35,900","$23,875"
"2425519","RESIDENTIAL","Single Family Residence","508 N Daughtry Street","Rocky Mount","27801",,"Not in a Subdivision","2","1","1,057","0-.25 Acres","1940","1/4/2022","2/22/2022","6","$25,000","$25,000"
"2408891","RESIDENTIAL","Single Family Residence","1310 SE Nash","Wilson","27893",,"Not in a Subdivision","4","1","1,440","0-.25 Acres","1935","9/20/2021","1/10/2022","9","$30,000","$25,000"
"2402752","RESIDENTIAL","Single Family Residence","528 Hickory Street","Henderson","27536",,"Not in a Subdivision","2","1","960","0-.25 Acres","1947","8/19/2021","3/4/2022","75","$45,000","$25,000"
"2402771","RESIDENTIAL","Single Family Residence","1101 Lehman Street","Henderson","27536",,"Not in a Subdivision","2","1","840","0-.25 Acres","1965","8/19/2021","3/4/2022","75","$35,000","$25,000"
"LP667289","RESIDENTIAL","Single Family Residence","220 Vander Street","Fayetteville","28312",,,"3","2","0",,"1930","9/2/2021","2/7/2022","91","$35,000","$25,000"
"121980","RESIDENTIAL","Single Family Residence","105 Cherry Street","Reidsville","27320",,,"2","1","0","0-.25 Acres","1948","1/6/2022","1/24/2022","5","$19,900","$25,100"
"2425723","RESIDENTIAL","Single Family Residence","105 Cherry","Reidsville","27320",,"Not in a Subdivision","2","1","851","0-.25 Acres","1948","1/6/2022","1/24/2022","5","$19,900","$25,100"
"LP675791","RESIDENTIAL","Other","2170 Maxton Street","Autryville","28318",,"Beaver Dam","2","1","0",,"0","12/28/2021","1/26/2022","12","$30,000","$27,000"
"2417982","RESIDENTIAL","Single Family Residence","514 W Franklin Street","Warrenton","27589",,"Not in a Subdivision","2","2","998",".26-.5 Acres","1952","11/8/2021","1/14/2022","16","$39,900","$30,000"
"2415278","RESIDENTIAL","Single Family Residence","808 E Highland Avenue","Rocky Mount","27801",,"Not in a Subdivision","2","1","760","0-.25 Acres","1958","10/22/2021","1/5/2022","59","$45,000","$32,000"
"2425524","RESIDENTIAL","Single Family Residence","907 Lancaster Street","Rocky Mount","27801",,"Not in a Subdivision","2","1","1,211","0-.25 Acres","1935","1/4/2022","2/4/2022","8","$39,900","$34,000"
"122073","RESIDENTIAL","Single Family Residence","207 Vance Street","Reidsville","27320",,,"2","1","0","0-.25 Acres","1935","1/19/2022","2/4/2022","1","$34,900","$35,000"
"122146","RESIDENTIAL","Single Family Residence","222 Holderby Street","Reidsville","27320",,,"2","1","0","0-.25 Acres","1940","1/31/2022","3/18/2022","1","$45,000","$35,000"
"2423477","RESIDENTIAL","Single Family Residence","161 Degraffenreid Road","Carthage","28327",,"Not in a Subdivision","3","1","1,330",".51-.75 Acres","1930","12/15/2021","1/25/2022","29","$35,000","$36,000"
"2419014","RESIDENTIAL","Single Family Residence","103 Busbee Court","Enfield","27823-1780",,"Not in a Subdivision","3","1","1,033","0-.25 Acres","1983","11/13/2021","2/22/2022","23","$40,000","$38,000"
"LP663572","RESIDENTIAL","Single Family Residence","401 Warwick Mill Road","Lumberton","28358",,,"2","1","0","0-.25 Acres","1940","8/3/2021","1/13/2022","122","$42,500","$38,000"
"LP677254","RESIDENTIAL","Single Family Residence","1806 Camden Road","Fayetteville","28306",,,"3","1","0",,"1944","1/31/2022","2/10/2022","3","$39,500","$39,000"
"2407744","RESIDENTIAL","Manufactured","116 Overland Trail","Macon","27551",,"Not in a Subdivision","2","1","720","1-2.9 Acres","1969","9/13/2021","3/2/2022","149","$50,000","$40,000"
