"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2492641","RESIDENTIAL","Single Family Residence","157 Melody Lane","Roanoke Rapids","27870",,"White Oak Hill","3","2","1,168",".26-.5 Acres","1990","1/27/2023","5/9/2023","41","$24,500","$18,000"
"LP701775","RESIDENTIAL","Single Family Residence","1826 NC 87","Cameron","28326",,,"3","2","0",,"1988","4/10/2023","5/15/2023","5","$190,000","$19,000"
"2494928","RESIDENTIAL","Single Family Residence","503 Henry Street","Rocky Mount","27803",,"Not in a Subdivision","2","1","1,119","0-.25 Acres","1910","2/13/2023","6/15/2023","17","$29,900","$22,000"
"LP689966","RESIDENTIAL","Single Family Residence","2506 Persimmon Road","Rowland","28383",,,"3","2","0",,"1963","7/30/2022","6/27/2023","173","$65,000","$25,000"
"2492445","RESIDENTIAL","Single Family Residence","512 E 9th Street","Scotland Neck","27874",,"Not in a Subdivision","3","1","1,188","0-.25 Acres","1930","1/27/2023","6/13/2023","122","$32,000","$25,000"
"2487045","RESIDENTIAL","Single Family Residence","131 Zenobia Avenue","Lillington","27546",,"Not in a Subdivision","2","1","1,096","0-.25 Acres","1940","12/13/2022","5/4/2023","113","$50,000","$30,000"
"LP704763","RESIDENTIAL","Single Family Residence","2739 Old Lowery Road","Red Springs","28377",,,"3","1","0",,"1973","6/10/2023","6/29/2023","3","$50,000","$33,800"
"LP701275","RESIDENTIAL","Other","198 Williamson Road","Fairmont","28340",,"Fairmont","3","2","0","1-2.9 Acres","1995","3/29/2023","4/14/2023","4","$35,000","$35,000"
"LP699114","RESIDENTIAL","Single Family Residence","2763 Blossom Road","Hope Mills","28348",,,"3","1","0",".26-.5 Acres","1971","3/3/2023","4/28/2023","38","$28,620","$35,000"
"2513333","RESIDENTIAL","Single Family Residence","815 Clark Street","Rocky Mount","27801",,"Not in a Subdivision","5","2","1,904",".26-.5 Acres","1930","5/28/2023","6/27/2023","3","$35,000","$37,000"
"2509358","RESIDENTIAL","Single Family Residence","725 Isler Street","Goldsboro","27530",,"Not in a Subdivision","2","1","979","0-.25 Acres","1940","5/6/2023","6/9/2023","16","$39,000","$39,000"
"127364","RESIDENTIAL","Single Family Residence","1712 Vance Street","Reidsville","27320",,,"2","1","0",".26-.5 Acres","1946","5/1/2023","5/18/2023","3","$29,900","$40,000"
"2504417","RESIDENTIAL","Single Family Residence","203 N Fayetteville Avenue","Dunn","28334",,"Not in a Subdivision","3","1","1,301","0-.25 Acres","1920","4/11/2023","5/19/2023","9","$93,000","$40,000"
"2500243","RESIDENTIAL","Single Family Residence","3387 W NC 33 Highway","Greenville","27834",,"Not in a Subdivision","3","2","2,300",".51-.75 Acres","1964","2/20/2023","6/30/2023","123","$60,000","$40,000"
"LP697864","RESIDENTIAL","Single Family Residence","3387 NC Highway 33","Greenville","27834",,"Northwoods","3","2","0",".51-.75 Acres","1964","2/20/2023","6/30/2023","126","$60,000","$40,000"
