"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"LP694299","RESIDENTIAL","Single Family Residence","201 Hunter Trail","Southern Pines","28387",,,"3","2","0",,"1995","10/18/2022","2/2/2023","59","$390,000","$375"
"2485373","RESIDENTIAL","Single Family Residence","305 Maple Street","Garysburg","27831",,"To Be Added","2","1","672","0-.25 Acres","1950","11/29/2022","2/1/2023","32","$28,900","$17,000"
"2488624","RESIDENTIAL","Single Family Residence","718 Crowell Street","Wilson","27893",,"Not in a Subdivision","1","1","925","0-.25 Acres","1948","1/2/2023","1/30/2023","9","$24,900","$24,900"
"2493090","RESIDENTIAL","Single Family Residence","1078 Old Smith Chapel Road","Mount Olive","28365",,"Not in a Subdivision","3","3","1,449",".26-.5 Acres","1948","2/1/2023","3/8/2023","13","$33,000","$29,000"
"2494607","RESIDENTIAL","Single Family Residence","1675 Elliot Farm Road","Fayetteville","28311",,"Not in a Subdivision","3","1","1,200",".76-.99 Acres","1942","2/10/2023","3/20/2023","14","$49,900","$31,000"
"LP693968","RESIDENTIAL","Manufactured","396 Ralph Hunt Boulevard","Orrum","28369",,,"2","2","0",,"0","10/24/2022","1/10/2023","55","$45,000","$32,000"
"126104","RESIDENTIAL","Single Family Residence","704 Dothan Avenue","Burlington","27217",,,"2","1","0",".26-.5 Acres","1950","11/22/2022","1/17/2023","13","$60,000","$35,000"
"126105","RESIDENTIAL","Single Family Residence","710 Dothan Avenue","Burlington","27217",,,"2","1","0","0-.25 Acres","1950","11/22/2022","1/17/2023","13","$60,000","$35,000"
"2486575","RESIDENTIAL","Manufactured","1539 Schloss Road","Louisburg","27549",,"Not in a Subdivision","3","2","1,008","1-2.9 Acres","1996","12/8/2022","1/12/2023","32","$50,000","$35,000"
"2323522","RESIDENTIAL","Single Family Residence","712 N Main Street","Warrenton","27589",,"Not in a Subdivision","3","2","1,794","1-2.9 Acres","1948","6/6/2020","3/1/2023","5","$49,900","$35,000"
"2492916","RESIDENTIAL","Single Family Residence","146 Burwell Avenue","Henderson","27536",,"Not in a Subdivision","3","2","2,200",".26-.5 Acres","1938","1/30/2023","3/3/2023","7","$62,500","$35,000"
"2488634","RESIDENTIAL","Single Family Residence","315 Pender Street","Wilson","27893",,"Not in a Subdivision","3","1","890","0-.25 Acres","1940","1/2/2023","1/26/2023","15","$39,900","$35,750"
"LP697506","RESIDENTIAL","Single Family Residence","108 South Street","Lumberton","28358",,,"1","1","0",,"1950","1/25/2023","2/24/2023","7","$29,900","$38,150"
"2488618","RESIDENTIAL","Single Family Residence","1508 Aycock Street","Wilson","27893",,"Not in a Subdivision","3","1","1,247","0-.25 Acres","1928","1/2/2023","1/20/2023","8","$44,900","$43,000"
"2487811","RESIDENTIAL","Manufactured","246-246A Haley Street","Warrenton","27589",,"To Be Added","2","1","576","1-2.9 Acres","1971","12/20/2022","1/6/2023","7","$43,000","$43,000"
"2495122","RESIDENTIAL","Manufactured","485 Lemay Lane","Henderson","27537",,"Sandy Creek","3","2","1,056",".76-.99 Acres","1998","2/15/2023","3/3/2023","7","$50,000","$43,000"
"2485308","RESIDENTIAL","Single Family Residence","292 NC 125 Highway","Halifax","27887",,"Not in a Subdivision","3","2","1,068",".26-.5 Acres","1981","11/29/2022","1/23/2023","17","$49,950","$44,200"
"LP696836","RESIDENTIAL","Manufactured","6475 Canadian Avenue","Hope Mills","28348",,"Twin Oaks","3","2","0",".51-.75 Acres","1989","1/10/2023","2/15/2023","14","$49,837","$45,000"
"LP686024","RESIDENTIAL","Single Family Residence","214 N Virginia Street","Goldsboro","27530",,,"3","2","0","0-.25 Acres","1850","6/13/2022","1/25/2023","83","$69,900","$45,000"
"2493726","RESIDENTIAL","Single Family Residence","207 S Carolina Street","Goldsboro","27530",,"Not in a Subdivision","3","1","1,836","0-.25 Acres","1928","2/4/2023","3/15/2023","19","$65,000","$45,000"
"LP696498","RESIDENTIAL","Single Family Residence","375 Bladen Circle","Fayetteville","28312",,,"3","1","0",,"1961","12/30/2022","2/23/2023","12","$50,880","$46,400"
"LP687833","RESIDENTIAL","Single Family Residence","1267 Tillery Drive","Aberdeen","28315",,"Legacy Lakes","3","3","0",".26-.5 Acres","2022","7/8/2022","2/14/2023","0","$471,512","$46,500"
"2481301","RESIDENTIAL","Single Family Residence","109 Raynor Street","Goldsboro","27530",,"To Be Added","2","1","726","0-.25 Acres","1948","10/27/2022","1/18/2023","68","$40,000","$47,000"
"2484607","RESIDENTIAL","Single Family Residence","566 Stagecoach Road","Warrenton","27589",,"Not in a Subdivision","1","1","862",".51-.75 Acres","1930","11/21/2022","1/31/2023","42","$50,000","$49,000"
"2483529","RESIDENTIAL","Single Family Residence","4 Wilder Drive","Franklinton","27525",,"Not in a Subdivision","2","1","1,227",".26-.5 Acres","1940","11/12/2022","1/13/2023","25","$59,900","$50,000"
"2492051","RESIDENTIAL","Single Family Residence","1100 Long Avenue","Rocky Mount","27801",,"Not in a Subdivision","3","2","1,204","0-.25 Acres","1949","1/25/2023","2/3/2023","2","$72,000","$50,000"
"LP696767","RESIDENTIAL","Single Family Residence","5348 N Goldsboro Road","Wade","28395",,"Baywood","3","2","0",".26-.5 Acres","1960","1/9/2023","2/3/2023","6","$60,000","$51,000"
"2496344","RESIDENTIAL","Single Family Residence","1508 Goldsboro Street","Wilson","27893",,"Five Points (Wilson)","2","1","857","0-.25 Acres","1947","2/23/2023","3/16/2023","4","$45,000","$51,000"
"2499635","RESIDENTIAL","Single Family Residence","307 N Carolina Street","Goldsboro","27530",,"Not in a Subdivision","4","2","1,866","0-.25 Acres","1900","3/14/2023","3/30/2023","4","$60,000","$52,000"
"2488640","RESIDENTIAL","Single Family Residence","1002 Wilson Street","Wilson","27893",,"Not in a Subdivision","3","2","1,175","0-.25 Acres","1945","1/2/2023","1/24/2023","9","$49,900","$52,000"
"2499112","RESIDENTIAL","Single Family Residence","2330 Park Road Extension","Burlington","27215",,"Not in a Subdivision","2","1","1,148",".26-.5 Acres","1910","3/10/2023","3/30/2023","18","$75,000","$52,000"
"2496063","RESIDENTIAL","Single Family Residence","107 Johnston Street","Bunn","27508",,"Bunn","1","1","486","0-.25 Acres","1950","2/20/2023","3/8/2023","3","$52,500","$52,500"
"2487559","RESIDENTIAL","Single Family Residence","510 Owens Street","Henderson","27536",,"Not in a Subdivision","2","1","780","0-.25 Acres","1950","12/15/2022","2/20/2023","48","$60,000","$53,000"
"2486075","RESIDENTIAL","Single Family Residence","119 Kelly Road","Fairmont","28340",,"Not in a Subdivision","2","1","1,574","1-2.9 Acres","1935","12/4/2022","2/24/2023","61","$75,000","$55,000"
"LP694943","RESIDENTIAL","Single Family Residence","2312 Martin Luther King Jr Drive","Lumberton","28358",,,"3","1","0",,"1950","11/14/2022","3/20/2023","76","$70,000","$55,000"
"LP697004","RESIDENTIAL","Manufactured","159 Pine Haven Drive","Sanford","27332",,"Carolina Hills","3","2","0",".51-.75 Acres","1993","1/13/2023","1/27/2023","1","$55,000","$55,000"
"2495328","RESIDENTIAL","Single Family Residence","203 Hope Street","Erwin","28339",,"Not in a Subdivision","2","1","824","0-.25 Acres","1946","2/16/2023","3/20/2023","15","$75,000","$55,000"
"2324612","RESIDENTIAL","Single Family Residence","203 River Road","Selma","27576",,"Not in a Subdivision","3","1","1,282","0-.25 Acres","1954","6/11/2020","2/10/2023","1","$60,000","$55,000"
"124587","RESIDENTIAL","Single Family Residence","510 Whitsett Avenue","Gibsonville","27249",,,"2","1","0","0-.25 Acres","1901","9/9/2022","3/6/2023","135","$79,900","$55,000"
"2491962","RESIDENTIAL","Manufactured","309 S Herman Street","Goldsboro","27530",,"Not in a Subdivision","3","2","1,080","0-.25 Acres","1997","1/25/2023","2/17/2023","13","$59,900","$55,000"
"LP698576","RESIDENTIAL","Single Family Residence","3455 Turkey Highway","Clinton","28328",,,"3","2","0",,"1945","2/21/2023","3/20/2023","5","$49,900","$55,100"
"124552","RESIDENTIAL","Single Family Residence","406 E Market Street","Burlington","27217",,,"2","1","0","0-.25 Acres","1949","9/16/2022","3/1/2023","97","$80,000","$55,635"
"2465248","RESIDENTIAL","Single Family Residence","313 Railroad Street","Wilson","27893-4125",,"Not in a Subdivision","3","1","2,200","0-.25 Acres","1950","7/28/2022","2/1/2023","145","$68,900","$57,000"
"2494243","RESIDENTIAL","Single Family Residence","536 Swain Drive","Henderson","27536",,"Not in a Subdivision","2","1","900","0-.25 Acres","1954","2/8/2023","3/22/2023","19","$60,000","$57,000"
"2473376","RESIDENTIAL","Manufactured","535 Mary Lou Lane","Supply","28462",,"Not in a Subdivision","2","2","1,075",".26-.5 Acres","1996","9/9/2022","1/31/2023","93","$64,900","$58,000"
"2493617","RESIDENTIAL","Single Family Residence","106 Hannahs Way","Warrenton","27589",,"Not in a Subdivision","2","1","1,039",".76-.99 Acres","1964","2/2/2023","3/17/2023","11","$57,000","$58,220"
"2494046","RESIDENTIAL","Single Family Residence","270 Cavel Chub Lake Road","Roxboro","27574",,"Not in a Subdivision","2","1","960",".76-.99 Acres","1940","2/7/2023","3/27/2023","34","$65,000","$58,500"
"2497389","RESIDENTIAL","Single Family Residence","403 Park Avenue","Goldsboro","27530",,"Not in a Subdivision","5","5","2,404",".26-.5 Acres","1909","3/1/2023","3/21/2023","1","$57,000","$59,000"
"LP697728","RESIDENTIAL","Manufactured","74 Seminole Road","Pembroke","28372",,"Evergreen","3","3","0",,"1995","1/26/2023","3/7/2023","6","$59,900","$59,900"
"LP681092","RESIDENTIAL","Manufactured","1986 Laurel Lake Road","Salemburg","28385",,,"4","2","0",,"2000","3/29/2022","2/21/2023","115","$89,999","$60,000"
"2489914","RESIDENTIAL","Single Family Residence","109 Walker Street","Roxboro","27573",,"Not in a Subdivision","2","1","950","0-.25 Acres","1901","1/11/2023","2/28/2023","28","$75,000","$60,000"
"LP697329","RESIDENTIAL","Single Family Residence","301 Oregon Street","Lumberton","28358",,,"3","1","0",,"1962","1/8/2023","2/27/2023","37","$60,000","$60,000"
"126236","RESIDENTIAL","Single Family Residence","911 Mint Avenue","High Point","27260",,,"2","1","0",".26-.5 Acres","1977","12/6/2022","1/3/2023","2","$64,900","$61,000"
"LP697094","RESIDENTIAL","Condo","6716-1 Willowbrook Drive","Fayetteville","28314",,,"3","2","0",,"1992","1/16/2023","2/22/2023","4","$59,900","$62,500"
"126067","RESIDENTIAL","Single Family Residence","772 Dairy Road","Reidsville","27320",,,"3","2","0",".51-.75 Acres","1998","11/7/2022","1/27/2023","8","$52,500","$62,800"
"2475214","RESIDENTIAL","Single Family Residence","621 Paschall Station Road","Warrenton","27589-9546",,"Not in a Subdivision","3","2","1,008","3-5.9 Acres","1930","9/20/2022","3/3/2023","121","$74,900","$63,000"
"LP695565","RESIDENTIAL","Single Family Residence","284 Court Street","Jacksonville","28540",,,"3","2","0",,"1960","12/1/2022","3/13/2023","39","$63,000","$63,000"
