"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2400205","RESIDENTIAL","Single Family Residence","2080 St Paul Church Road","Roxboro","27574-7087",,"Not in a Subdivision","2","2","840","1-2.9 Acres","1965","8/6/2021","10/28/2021","5","$55,000","$19,000"
"2413161","RESIDENTIAL","Single Family Residence","1106 9th Street","Lillington","27546",,"Not in a Subdivision","2","1","2,132",".51-.75 Acres","1928","10/8/2021","11/22/2021","2","$75,000","$22,500"
"119814","RESIDENTIAL","Single Family Residence","4513 Hodges Dairy Road","Yanceyville","27379",,,"3","1","0","1-2.9 Acres","1976","9/9/2021","10/21/2021","32","$25,000","$22,500"
"LP662241","RESIDENTIAL","Single Family Residence","2748 Doc Brown Road","Raeford","28376",,,"2","1","0",,"1959","7/15/2021","11/5/2021","82","$25,000","$22,500"
"2399247","RESIDENTIAL","Single Family Residence","613 Jackson Street","Laurinburg","28352",,"Roper Acres","2","1","802","0-.25 Acres","1947","8/1/2021","11/12/2021","72","$28,500","$23,500"
"2398483","RESIDENTIAL","Single Family Residence","1305 Griffin Street","Rocky Mount","27803",,"Griffith Park","2","2","831",".26-.5 Acres","1957","7/28/2021","10/21/2021","36","$42,900","$25,000"
"2411518","RESIDENTIAL","Single Family Residence","113 E Highland Avenue","Rocky Mount","27801",,"Not in a Subdivision","4","1","750",".26-.5 Acres","1900","10/4/2021","11/5/2021","19","$39,000","$25,000"
"121530","RESIDENTIAL","Single Family Residence","1390 Hodges Dairy Road","Yanceyville","27379",,,"2","1","0",".51-.75 Acres","1965","11/11/2021","12/17/2021","5","$30,000","$25,000"
"2410862","RESIDENTIAL","Single Family Residence","409 W Watson Street","Selma","29576",,"Beacon Hill","2","1","528","0-.25 Acres","1960","9/28/2021","12/13/2021","65","$34,000","$25,000"
"LP667180","RESIDENTIAL","Single Family Residence","106 Turner Street","Fairmont","28340",,"Fairmont","2","1","0",,"1955","8/31/2021","11/19/2021","46","$30,000","$27,500"
"LP667137","RESIDENTIAL","Single Family Residence","501 W Scotland Street","Maxton","28364",,,"2","1","0",".51-.75 Acres","1950","8/26/2021","10/13/2021","14","$29,900","$29,000"
"LP665628","RESIDENTIAL","Single Family Residence","Pete S Pete S Road","Pembroke","28372",,,"6","3","0",".51-.75 Acres","2000","8/21/2021","10/6/2021","27","$32,500","$30,500"
"LP667287","RESIDENTIAL","Other","3224 Princess Ann Drive","Fayetteville","28306",,"Westchester","2","1","0",,"0","9/2/2021","12/18/2021","15","$20,000","$31,000"
"2374595","RESIDENTIAL","Single Family Residence","620 Breckenridge Avenue","Henderson","27536",,"Not in a Subdivision","2","1","1,221","0-.25 Acres","1950","3/28/2021","10/21/2021","163","$37,500","$32,000"
"LP672611","RESIDENTIAL","Other","2868 Lobelia Road","Vass","28394",,,"0","0","0","1-2.9 Acres","0","11/3/2021","11/23/2021","2","$36,500","$33,000"
"2399510","RESIDENTIAL","Manufactured","56 Saucy Lane","Henderson","27537",,"Not in a Subdivision","3","2","920","1-2.9 Acres","1996","8/3/2021","10/27/2021","13","$19,080","$35,000"
