"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"LP656142","RESIDENTIAL","Other","4124 Nashville Drive","Fayetteville","28306",,"Tanglewood","2","1","0",,"1987","5/4/2021","5/20/2021","2","$29,000","$30,000"
"2372654","RESIDENTIAL","Single Family Residence","204 Tilghman Street","Kenly","27542",,"Not in a Subdivision","3","1","940",".26-.5 Acres","1964","3/17/2021","6/28/2021","2","$35,000","$30,000"
"2372109","RESIDENTIAL","Single Family Residence","413 N Clark Street","Henderson","27536",,"Not in a Subdivision","3","1","1,160","0-.25 Acres","1950","3/15/2021","4/6/2021","1","$30,000","$30,000"
"2357038","RESIDENTIAL","Single Family Residence","124 Apple Street","Henderson","27536",,"Not in a Subdivision","1","1","976",".26-.5 Acres","1955","12/9/2020","5/12/2021","32","$45,000","$30,000"
"LP653654","RESIDENTIAL","Single Family Residence","901 Locust Street","Fayetteville","28301",,"Cumberland","3","1","0",".26-.5 Acres","1941","4/7/2021","4/28/2021","5","$34,900","$32,000"
"2369533","RESIDENTIAL","Single Family Residence","304 E Pearsall Street","Dunn","28334",,"Not in a Subdivision","2","1","694","0-.25 Acres","1929","2/27/2021","4/14/2021","4","$50,000","$32,000"
"2386160","RESIDENTIAL","Single Family Residence","501 W Main Street","Micro","27555",,"Forest Ridge","2","1","681","0-.25 Acres","1948","5/25/2021","6/18/2021","5","$32,500","$32,600"
"2363517","RESIDENTIAL","Single Family Residence","304 Pennsylvania Avenue","Fayetteville","28301",,"Broad Acres","2","1","700",".26-.5 Acres","1961","1/26/2021","5/21/2021","91","$50,000","$35,000"
"2373476","RESIDENTIAL","Single Family Residence","243 Burwell Avenue","Henderson","27536",,"Not in a Subdivision","5","2","2,363","0-.25 Acres","1912","3/22/2021","4/21/2021","2","$25,000","$35,000"
"2373539","RESIDENTIAL","Single Family Residence","401 Elizabeth Street","Selma","27576",,"Not in a Subdivision","2","1","676","0-.25 Acres","1948","3/23/2021","4/2/2021","0","$29,995","$35,000"
"LP656440","RESIDENTIAL","Single Family Residence","909 Johnson Street","Fayetteville","28303",,"Bonnie Doone","3","1","0",,"1941","5/8/2021","6/16/2021","14","$45,900","$36,500"
"LP653080","RESIDENTIAL","Single Family Residence","2316 Carver Street","Lumberton","28358",,,"3","1","0",,"1955","3/29/2021","5/3/2021","4","$39,900","$37,000"
"LP649317","RESIDENTIAL","Single Family Residence","2106 Cowan Street","Fayetteville","28306",,,"3","1","0",,"1947","1/29/2021","4/26/2021","34","$40,000","$37,000"
"LP652805","RESIDENTIAL","Single Family Residence","1609 Gibson Street","Fayetteville","28301",,,"3","2","0",,"1964","3/22/2021","4/22/2021","0","$40,000","$37,500"
"2370925","RESIDENTIAL","Single Family Residence","1716 Harrell Street","Goldsboro","27530",,"Not in a Subdivision","3","1","980",".26-.5 Acres","1978","3/8/2021","4/23/2021","17","$26,000","$37,500"
"2359363","RESIDENTIAL","Single Family Residence","144 Allie Clay Road","Roxboro","27574",,"Not in a Subdivision","2","1","946",".26-.5 Acres","1943","12/29/2020","4/1/2021","31","$46,500","$38,000"
"2374187","RESIDENTIAL","Single Family Residence","863 Panacea Springs Road","Littleton","27850",,"Not in a Subdivision","3","1","1,107",".76-.99 Acres","1973","3/25/2021","5/28/2021","33","$49,900","$38,000"
"LP657071","RESIDENTIAL","Manufactured","5031 Voyager Drive","Fayetteville","28306",,,"3","2","0",,"1983","5/19/2021","6/10/2021","2","$35,000","$38,500"
"LP630673","RESIDENTIAL","Manufactured","232 Hoppy Drive","Orrum","28369",,,"3","2","0",,"2000","4/21/2020","4/6/2021","344","$39,000","$39,000"
"2373564","RESIDENTIAL","Single Family Residence","921 David Street","Henderson","27536",,"Not in a Subdivision","3","1","852","0-.25 Acres","1950","3/23/2021","6/24/2021","58","$49,900","$39,900"
"2337648","RESIDENTIAL","Single Family Residence","205 Durham Street","Smithfield","27577",,"Belmont","3","1","1,150",".26-.5 Acres","1922","8/18/2020","5/21/2021","99","$50,000","$40,000"
"2369005","RESIDENTIAL","Single Family Residence","508 E Canary Street","Dunn","28334",,"Not in a Subdivision","2","1","756","0-.25 Acres","1945","2/26/2021","4/19/2021","25","$49,900","$40,000"
"2368983","RESIDENTIAL","Single Family Residence","507 E Canary Street","Dunn","28334",,"Not in a Subdivision","2","1","783","0-.25 Acres","1945","2/26/2021","4/12/2021","24","$45,000","$40,000"
"2371830","RESIDENTIAL","Single Family Residence","416 S Leslie Street","Goldsboro","27530",,"Not in a Subdivision","2","1","952","0-.25 Acres","1960","3/12/2021","5/3/2021","16","$25,000","$40,000"
"2345191","RESIDENTIAL","Single Family Residence","816 Lincoln Drive","Rocky Mount","27803",,"Berkshire Acres","4","2","1,303",".26-.5 Acres","1972","9/27/2020","5/6/2021","169","$51,900","$41,000"
"2376223","RESIDENTIAL","Single Family Residence","13867 Hobbton Highway","Newton Grove","28366",,"Not in a Subdivision","3","1","1,512","3-5.9 Acres","1932","4/6/2021","4/21/2021","3","$79,000","$42,000"
"2369038","RESIDENTIAL","Single Family Residence","1002 N Fayetteville Avenue","Dunn","28334",,"Not in a Subdivision","2","1","768","0-.25 Acres","1918","2/26/2021","5/24/2021","28","$45,900","$42,000"
"LP656095","RESIDENTIAL","Single Family Residence","809 Isley Street","Fayetteville","28305",,,"3","1","0",,"1963","5/3/2021","5/14/2021","1","$50,000","$44,000"
"LP654306","RESIDENTIAL","Manufactured","516 W Northpoint Road","Spring Lake","28390",,,"3","2","0",,"1994","4/17/2021","6/1/2021","4","$55,000","$45,000"
"LP649519","RESIDENTIAL","Single Family Residence","907 River Road","Fayetteville","28312",,,"3","1","0",,"1937","2/2/2021","4/1/2021","0","$45,000","$45,000"
"LP656523","RESIDENTIAL","Single Family Residence","119 Allen Avenue","Red Springs","28377",,,"2","1","0",,"1946","5/11/2021","6/14/2021","6","$55,000","$45,000"
"LP656598","RESIDENTIAL","Condo","534 Cross Street","Sanford","27330",,"Clairmount Green","0","0","0",,"1941","5/12/2021","6/10/2021","16","$50,000","$45,000"
"2376863","RESIDENTIAL","Manufactured","168 Culberson Drive","Siler City","27344",,"Not in a Subdivision","2","2","924","1-2.9 Acres","1986","4/8/2021","4/8/2021","0","$45,000","$45,000"
"2369113","RESIDENTIAL","Single Family Residence","506 E Harnett Street","Dunn","28334",,"Not in a Subdivision","2","1","660","0-.25 Acres","1930","2/26/2021","5/28/2021","78","$55,900","$45,000"
"2367999","RESIDENTIAL","Single Family Residence","7925 Medoc Mountain Road","Hollister","27844",,"Not in a Subdivision","3","2","1,224","1-2.9 Acres","1972","2/20/2021","6/4/2021","16","$47,900","$45,505"
"2364912","RESIDENTIAL","Single Family Residence","4655 NC 48 Highway","Roanoke Rapids","27870",,"Not in a Subdivision","3","2","1,216",".51-.75 Acres","1960","2/3/2021","5/7/2021","55","$49,500","$46,000"
"2369256","RESIDENTIAL","Single Family Residence","802 N Magnolia Avenue","Dunn","28334",,"Not in a Subdivision","2","1","724","0-.25 Acres","1920","2/27/2021","4/30/2021","45","$52,900","$46,000"
"2374057","RESIDENTIAL","Single Family Residence","1736 Lucy Garrett Road","Roxboro","27574",,"Not in a Subdivision","1","0","869","1-2.9 Acres","1940","3/25/2021","6/8/2021","32","$59,500","$48,000"
"2380479","RESIDENTIAL","Single Family Residence","413 Kingsbury Street","Oxford","27565",,"Historic District","3","1","1,946",".26-.5 Acres","1960","4/28/2021","6/18/2021","3","$61,000","$48,000"
"LP653637","RESIDENTIAL","Townhouse","378 Terrace Court","Fayetteville","28314",,,"2","2","0",,"1983","4/6/2021","5/12/2021","8","$60,000","$48,500"
"2379575","RESIDENTIAL","Manufactured","38 Coyote Court","Henderson","27537",,"Foxfire","4","2","1,876",".76-.99 Acres","1997","4/23/2021","5/20/2021","1","$55,000","$49,000"
"LP656631","RESIDENTIAL","Condo","6752-7 Willowbrook Drive","Fayetteville","28314",,,"2","2","0",,"1986","5/21/2021","6/18/2021","14","$50,000","$49,000"
"2368805","RESIDENTIAL","Single Family Residence","305 Burke Street","Dunn","28334",,"Not in a Subdivision","2","1","936","0-.25 Acres","1934","2/25/2021","6/4/2021","31","$59,900","$49,000"
"2377374","RESIDENTIAL","Condo","6821 Willowbrook Drive","Fayetteville","28314",,"Stewart","2","2","1,150","0-.25 Acres","1989","4/13/2021","4/13/2021","0","$45,000","$49,500"
"2345277","RESIDENTIAL","Single Family Residence","4325 Hickory Nut Point","Burlington","27217",,"Not in a Subdivision","2","2","1,500","0-.25 Acres","1967","9/28/2020","6/22/2021","69","$69,000","$50,000"
"LP656627","RESIDENTIAL","Condo","536 Cross Street","Sanford","27330",,"Clairmount Green","0","0","0",,"1941","5/12/2021","6/10/2021","16","$60,000","$50,000"
"2369321","RESIDENTIAL","Single Family Residence","903 N Fayetteville Avenue","Dunn","28334",,"Not in a Subdivision","2","1","640",".51-.75 Acres","1935","2/28/2021","6/2/2021","31","$64,900","$50,000"
"LP648392","RESIDENTIAL","Single Family Residence","511 Bragg Street","Sanford","27330",,,"2","1","0",".26-.5 Acres","1946","1/8/2021","6/4/2021","114","$62,000","$52,000"
"2374163","RESIDENTIAL","Single Family Residence","813 Kenmore Avenue","Louisburg","27549",,"Not in a Subdivision","3","1","1,884","0-.25 Acres","1901","3/25/2021","4/27/2021","3","$44,940","$52,000"
"2360466","RESIDENTIAL","Single Family Residence","511 Bragg Street","Sanford","27330",,"Sunrise","2","1","768",".26-.5 Acres","1946","1/7/2021","6/4/2021","113","$62,000","$52,000"
"LP649507","RESIDENTIAL","Single Family Residence","2012 E 5th Street","Lumberton","28358",,,"2","1","0",,"1940","2/2/2021","4/13/2021","24","$59,000","$53,000"
"2358847","RESIDENTIAL","Single Family Residence","302 Elmore Street","Mount Olive","28365",,"Not in a Subdivision","3","1","1,512","0-.25 Acres","1966","12/22/2020","5/6/2021","110","$59,900","$53,900"
"2368262","RESIDENTIAL","Single Family Residence","620 White Street","Selma","27576",,"Not in a Subdivision","2","1","1,120",".26-.5 Acres","1956","2/22/2021","5/18/2021","3","$59,900","$54,000"
"2385617","RESIDENTIAL","Manufactured","36 Preston Pleasant Road","Roxboro","27574",,"Not in a Subdivision","3","2","1,325","1-2.9 Acres","1995","5/24/2021","6/14/2021","1","$74,900","$54,000"
"LP653162","RESIDENTIAL","Single Family Residence","922 Partin Road","Dunn","28334",,,"3","1","0","1-2.9 Acres","1936","3/29/2021","4/19/2021","6","$70,000","$55,000"
"2381674","RESIDENTIAL","Single Family Residence","154 Summit Street","Roxboro","27573-4238",,"Not in a Subdivision","2","1","968",".26-.5 Acres","1906","5/4/2021","5/20/2021","1","$50,000","$55,000"
"2374695","RESIDENTIAL","Single Family Residence","922 Partin Road","Dunn","28334-8122",,"Not in a Subdivision","3","1","1,326","1-2.9 Acres","1936","3/29/2021","4/19/2021","6","$70,000","$55,000"
"2383938","RESIDENTIAL","Single Family Residence","129 S College Street","Henderson","27536",,"Not in a Subdivision","3","1","1,247","0-.25 Acres","1950","5/13/2021","6/2/2021","7","$54,000","$55,000"
"2377265","RESIDENTIAL","Manufactured","1853 Rock Mill Road","Henderson","27537",,"Not in a Subdivision","2","1","720","1-2.9 Acres","1970","4/12/2021","6/3/2021","33","$75,000","$55,000"
"2383985","RESIDENTIAL","Single Family Residence","1314 Eastern Avenue","Rocky Mount","27801",,"Edgemont Park","3","2","1,572",".26-.5 Acres","1930","5/14/2021","6/23/2021","5","$57,000","$55,000"
"2354000","RESIDENTIAL","Single Family Residence","6235 Pine Street","Bailey","27807",,"Not in a Subdivision","2","1","1,398",".26-.5 Acres","1910","11/17/2020","6/14/2021","0","$55,474","$55,474"
"LP654394","RESIDENTIAL","Condo","1006 Wood Creek Drive","Fayetteville","28314",,,"2","2","0",,"1987","4/20/2021","5/27/2021","3","$56,900","$55,700"
"2367314","RESIDENTIAL","Single Family Residence","112 Woody Street","Roxboro","27573",,"Woody","2","2","1,370","0-.25 Acres","1973","2/16/2021","5/7/2021","8","$65,000","$56,000"
"2378719","RESIDENTIAL","Condo","130 Estes Drive","Chapel Hill","27514",,"Camelot Village","1","1","704","0-.25 Acres","1967","4/19/2021","5/13/2021","12","$55,000","$56,000"
"LP649382","RESIDENTIAL","Condo","1878 Tryon Drive","Fayetteville","28303",,"Briarcliff","2","2","0",,"1985","1/30/2021","4/12/2021","1","$49,900","$56,000"
"2355677","RESIDENTIAL","Single Family Residence","1557 Cherry Street","Rocky Mount","27801",,"Not in a Subdivision","3","1","996","0-.25 Acres","1970","11/30/2020","4/14/2021","67","$55,900","$56,000"
"LP657354","RESIDENTIAL","Manufactured","2615 Oglesby Drive","Raeford","28376",,,"3","2","0",".26-.5 Acres","1997","5/25/2021","6/21/2021","1","$55,000","$56,200"
"2370332","RESIDENTIAL","Condo","130 S Estes Drive","Chapel Hill","27514",,"Camelot Village","1","1","670","0-.25 Acres","1967","3/5/2021","4/6/2021","5","$54,900","$56,250"
"2370330","RESIDENTIAL","Condo","130 S Estes Drive","Chapel Hill","27514",,"Camelot Village","1","1","670","0-.25 Acres","1967","3/5/2021","4/6/2021","5","$54,900","$56,250"
"2370328","RESIDENTIAL","Condo","130 S Estes Drive","Chapel Hill","27514",,"Camelot Village","1","1","670","0-.25 Acres","1967","3/5/2021","4/6/2021","5","$54,900","$56,250"
"2370324","RESIDENTIAL","Condo","130 S Estes Drive","Chapel Hill","27514",,"Camelot Village","1","1","670","0-.25 Acres","1967","3/5/2021","4/6/2021","5","$54,900","$56,250"
"LP654746","RESIDENTIAL","Single Family Residence","4001 Carlos Avenue","Fayetteville","28306",,"Pine Acres","1","1","0",,"1956","4/27/2021","6/21/2021","3","$69,000","$57,000"
"LP654103","RESIDENTIAL","Manufactured","66 Hicks Williams Lane","Bunnlevel","28323",,,"3","2","0",,"2009","4/15/2021","6/30/2021","60","$59,900","$57,000"
"2378403","RESIDENTIAL","Condo","130 Estes Drive","Chapel Hill","27514",,"Camelot Village","1","1","704","0-.25 Acres","1967","4/17/2021","5/13/2021","14","$55,000","$57,000"
"2380205","RESIDENTIAL","Single Family Residence","4001 Carlos Avenue","Fayetteville","28306",,"Pine Acres","1","1","440","0-.25 Acres","1956","4/27/2021","6/21/2021","3","$69,000","$57,000"
"2372944","RESIDENTIAL","Single Family Residence","403 N Barnes Street","Elm City","27822",,"To Be Added","4","2","1,350","0-.25 Acres","1965","3/19/2021","5/7/2021","13","$59,900","$57,000"
"116839","RESIDENTIAL","Single Family Residence","3249 Nc 150 Highway","Reidsville","27320",,,"2","2","0",".76-.99 Acres","1937","3/30/2021","4/15/2021","2","$59,900","$57,500"
"LP648427","RESIDENTIAL","Single Family Residence","420 Durant Drive","Fayetteville","28304",,,"2","1","0",".26-.5 Acres","1956","1/10/2021","4/21/2021","40","$69,900","$58,000"
"118566","RESIDENTIAL","Single Family Residence","704 Shedd Street","Eden","27288",,,"2","1","0",".26-.5 Acres","1930","6/2/2021","6/24/2021","8","$59,900","$59,900"
"2377341","RESIDENTIAL","Single Family Residence","436 S Main Street","Franklinton","27525",,"Not in a Subdivision","3","2","1,798",".26-.5 Acres","1950","4/13/2021","5/10/2021","6","$59,000","$60,000"
"LP656985","RESIDENTIAL","Condo","664 Barton's Landing Place","Fayetteville","28314",,,"2","2","0",,"1989","5/8/2021","6/17/2021","11","$60,000","$60,000"
"LP653767","RESIDENTIAL","Single Family Residence","113 Graham Street","Red Springs","28377",,,"3","2","0",".26-.5 Acres","2003","4/9/2021","5/10/2021","4","$65,000","$60,000"
"2376991","RESIDENTIAL","Single Family Residence","4007 NC 242 Highway","Dunn","28334",,"Not in a Subdivision","1","1","841",".26-.5 Acres","1930","4/10/2021","5/6/2021","15","$85,000","$60,000"
"LP654653","RESIDENTIAL","Manufactured","4308 Frontier Avenue","Fayetteville","28312",,"Bayfield","3","2","0",".51-.75 Acres","1997","4/26/2021","5/24/2021","3","$60,000","$60,000"
"LP652591","RESIDENTIAL","Other","722 Hwy 710 Road","Rowland","28383",,,"3","2","0","1-2.9 Acres","1988","3/4/2021","5/6/2021","43","$66,900","$60,000"
"2378669","RESIDENTIAL","Condo","130 Estes Drive","Chapel Hill","27514",,"Camelot Village","1","1","704","0-.25 Acres","1967","4/19/2021","5/19/2021","11","$55,000","$60,000"
"2362533","RESIDENTIAL","Single Family Residence","1104 E Walnut Street","Goldsboro","27530",,"Edgewood","4","2","1,786",".26-.5 Acres","1900","1/19/2021","4/15/2021","42","$104,900","$60,000"
"113943","RESIDENTIAL","Single Family Residence","809 Spring Street","Reidsville","27320",,,"2","1","0",".26-.5 Acres","1947","12/10/2020","6/4/2021","109","$60,000","$60,000"
"2356255","RESIDENTIAL","Single Family Residence","4317 Daly Road","Raleigh","27604",,"Not in a Subdivision","2","1","640","0-.25 Acres","1961","12/2/2020","4/14/2021","12","$55,000","$60,000"
"2386495","RESIDENTIAL","Single Family Residence","1264 Turner Road","Creedmoor","27522",,"Not in a Subdivision","2","1","1,400","1-2.9 Acres","1958","5/28/2021","6/17/2021","4","$45,000","$60,000"
"LP652684","RESIDENTIAL","Manufactured","159 Snow Hill Church Road","Fayetteville","28306",,"Tanglewood","3","2","0",,"1992","3/19/2021","5/5/2021","17","$64,900","$60,000"
"2361852","RESIDENTIAL","Single Family Residence","47 Adolph Taylor Road","Pittsboro","27312-8301",,"Not in a Subdivision","1","1","1,306",".51-.75 Acres","1972","1/15/2021","4/29/2021","68","$88,400","$60,177"
"2378696","RESIDENTIAL","Condo","130 Estes Drive","Chapel Hill","27514",,"Camelot Village","1","1","704","0-.25 Acres","1967","4/19/2021","5/13/2021","12","$55,000","$60,500"
"2329568","RESIDENTIAL","Single Family Residence","167 Clearview Road","Carthage","28327",,"Not in a Subdivision","3","2","1,795","1-2.9 Acres","1986","7/8/2020","4/1/2021","134","$84,000","$62,050"
"LP656513","RESIDENTIAL","Condo","3355 Galleria Drive","Fayetteville","28303",,,"2","2","0",,"1992","5/10/2021","6/4/2021","3","$65,900","$63,000"
"LP634954","RESIDENTIAL","Manufactured","705 S Deer View","Sanford","27332",,"Carolina Hills","3","2","0","1-2.9 Acres","1998","6/5/2020","4/30/2021","309","$57,499","$63,000"
"2375218","RESIDENTIAL","Manufactured","705 Deer View","Sanford","27332",,"Carolina Hills","3","2","1,188",".26-.5 Acres","1998","4/1/2021","4/30/2021","8","$57,499","$63,000"
"2374835","RESIDENTIAL","Townhouse","1900 Tryon Drive","Fayetteville","28303",,"Briarcliff","2","2","1,056","0-.25 Acres","1986","3/30/2021","5/14/2021","9","$62,000","$63,000"
"2364626","RESIDENTIAL","Single Family Residence","623 East Avenue","Henderson","27536",,"Not in a Subdivision","3","2","1,568",".26-.5 Acres","1958","2/2/2021","4/5/2021","4","$69,900","$63,000"
"2372399","RESIDENTIAL","Manufactured","112 Cimarron Drive","Louisburg","27549",,"Lake Royale","1","1","294","0-.25 Acres","2019","3/16/2021","5/25/2021","45","$70,000","$63,500"
"118359","RESIDENTIAL","Single Family Residence","512 Hamilton Street","Burlington","27217",,,"3","1","0",".26-.5 Acres","1930","4/29/2021","6/11/2021","18","$62,000","$64,000"
"LP657443","RESIDENTIAL","Condo","1010 Woodcreek Drive","Fayetteville","28314",,,"3","2","0",,"1987","5/21/2021","6/22/2021","20","$69,900","$64,000"
"2336943","RESIDENTIAL","Single Family Residence","112 Wilcox Street","Warrenton","27589",,"Not in a Subdivision","5","2","2,204","0-.25 Acres","1923","8/13/2020","5/27/2021","245","$75,000","$65,000"
"116983","RESIDENTIAL","Single Family Residence","401 Oneida Street","Graham","27253",,,"2","1","0",,"1932","4/26/2021","5/21/2021","13","$62,000","$65,000"
"LP648900","RESIDENTIAL","Single Family Residence","467 N Platte Road","Fayetteville","28303",,"Ponderosa","3","2","0",".26-.5 Acres","1966","1/21/2021","4/19/2021","3","$75,000","$65,000"
"LP648250","RESIDENTIAL","Single Family Residence","3632 Pine Cone Lane","Fayetteville","28306",,,"3","2","0",,"1968","1/7/2021","5/10/2021","8","$95,000","$65,000"
"2380078","RESIDENTIAL","Manufactured","904 Sara Lane","Fayetteville","28312",,"To Be Added","3","2","1,296",".51-.75 Acres","1993","4/26/2021","6/18/2021","28","$65,000","$65,000"
"2359708","RESIDENTIAL","Single Family Residence","1410 Cypress Street","Rocky Mount","27801",,"Hargrove Estates","3","2","1,250","0-.25 Acres","1941","1/1/2021","5/14/2021","98","$65,000","$65,000"
"2359552","RESIDENTIAL","Single Family Residence","407 Branch Street","Enfield","27823",,"Not in a Subdivision","3","2","1,761","0-.25 Acres","1950","12/31/2020","4/13/2021","39","$56,500","$65,000"
"2380281","RESIDENTIAL","Single Family Residence","108 Lakeview Drive","Goldsboro","27530",,"Not in a Subdivision","2","1","832",".26-.5 Acres","1956","4/27/2021","6/23/2021","7","$70,000","$65,000"
"2365872","RESIDENTIAL","Single Family Residence","301 N Elm Avenue","Dunn","28334",,"Not in a Subdivision","2","1","650",".26-.5 Acres","1934","2/9/2021","6/25/2021","97","$70,000","$65,000"
"2369158","RESIDENTIAL","Single Family Residence","111 N Sampson Avenue","Dunn","28334",,"Not in a Subdivision","3","2","1,214",".26-.5 Acres","1938","2/26/2021","5/14/2021","45","$77,900","$65,000"
"2380934","RESIDENTIAL","Single Family Residence","401 Oneida Street","Graham","27253",,"Not in a Subdivision","2","1","1,018","0-.25 Acres","1932","4/30/2021","5/21/2021","7","$62,000","$65,000"
"116593","RESIDENTIAL","Single Family Residence","411 Wood Street","Gibsonville","27249",,,"4","2","0","0-.25 Acres","1948","3/1/2021","6/1/2021","24","$86,306","$66,000"
"2383513","RESIDENTIAL","Single Family Residence","610 W Waddell Street","Selma","27576",,"Not in a Subdivision","3","2","2,366","0-.25 Acres","1954","5/13/2021","6/16/2021","5","$65,000","$66,000"
"LP642016","RESIDENTIAL","Single Family Residence","447 Dockery Road","Raeford","28376",,,"4","3","0",,"1974","9/9/2020","5/5/2021","183","$66,400","$66,400"
"LP655998","RESIDENTIAL","Townhouse","346 Terrace Court","Fayetteville","28314",,,"3","2","0",,"1980","5/8/2021","6/16/2021","12","$62,500","$67,500"
"2387757","RESIDENTIAL","Single Family Residence","181 Scotts Creek Run","Angier","27501",,"Scotts Creek","3","0","1,149",".26-.5 Acres","1990","6/4/2021","6/29/2021","0","$60,000","$67,500"
"2384773","RESIDENTIAL","Single Family Residence","117 Lankford Street","Roxboro","27573",,"Not in a Subdivision","2","1","915",".26-.5 Acres","1961","5/19/2021","6/17/2021","5","$69,900","$68,000"
"2373682","RESIDENTIAL","Manufactured","100 S Becton Circle","Goldsboro","27534",,"Not in a Subdivision","3","2","1,512",".76-.99 Acres","1997","3/23/2021","6/3/2021","15","$68,000","$68,000"
"2379293","RESIDENTIAL","Manufactured","292 Harris Jones Road","Louisburg","27549",,"Not in a Subdivision","3","2","1,352","1-2.9 Acres","1999","4/21/2021","6/4/2021","16","$59,900","$69,000"
"LP655884","RESIDENTIAL","Single Family Residence","616 Deep Branch Road","Lumberton","28360",,,"2","2","0","1-2.9 Acres","1977","4/28/2021","6/21/2021","30","$73,500","$69,500"
"LP654117","RESIDENTIAL","Condo","3303 Sperry Branch Way","Fayetteville","28306",,,"2","2","0",,"2005","4/16/2021","5/18/2021","0","$69,900","$69,900"
"2355396","RESIDENTIAL","Manufactured","623 Mills Road","Hollister","27844",,"Not in a Subdivision","3","2","1,292","1-2.9 Acres","1976","11/25/2020","6/23/2021","124","$69,900","$69,900"
"2363895","RESIDENTIAL","Single Family Residence","4662 W Old Spring Hope Road","Spring Hope","27882",,"Not in a Subdivision","3","2","2,420","1-2.9 Acres","1985","1/28/2021","5/4/2021","11","$99,900","$69,900"
"2386571","RESIDENTIAL","Single Family Residence","203 E J Street","Erwin","28339",,"Erwin Mills","2","1","1,033","0-.25 Acres","1965","5/28/2021","6/14/2021","0","$75,000","$70,000"
"116911","RESIDENTIAL","Single Family Residence","1108 Wentworth Street","Reidsville","27320",,,"3","1","0",".26-.5 Acres","1960","4/6/2021","4/29/2021","7","$74,900","$70,000"
"2365793","RESIDENTIAL","Manufactured","116 Stillwater Drive","Benson","27504",,"Not in a Subdivision","3","2","1,728",".76-.99 Acres","1990","2/9/2021","4/5/2021","7","$100,000","$70,000"
"116579","RESIDENTIAL","Single Family Residence","2348 Basil Holt Road","Burlington","27217",,,"3","2","0",".76-.99 Acres","1992","2/27/2021","6/14/2021","97","$74,900","$70,000"
