"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2371560","RESIDENTIAL","Single Family Residence","206 Olive Street","Rocky Mount","27801",,"Not in a Subdivision","3","1","910","0-.25 Acres","1969","3/11/2021","4/8/2021","18","$12,500","$8,900"
"LP628059","RESIDENTIAL","Single Family Residence","914 Biggs Street","Laurinburg","28352",,,"3","1","0","0-.25 Acres","1942","3/3/2020","6/23/2021","196","$15,000","$10,000"
"117053","RESIDENTIAL","Single Family Residence","820 Rose Street","Other","27801",,,"2","1","0",".26-.5 Acres","1940","4/20/2021","5/12/2021","0","$29,950","$15,000"
"2379225","RESIDENTIAL","Single Family Residence","312 Harris Street","Henderson","27536",,"Not in a Subdivision","2","1","938",".51-.75 Acres","1950","4/21/2021","5/21/2021","8","$10,000","$16,000"
"2366352","RESIDENTIAL","Single Family Residence","912 Broad Street","Windsor","27983",,"Not in a Subdivision","3","1","1,212",".26-.5 Acres","1937","2/11/2021","4/27/2021","23","$22,900","$17,500"
"LP651605","RESIDENTIAL","Single Family Residence","2304 Slater Avenue","Fayetteville","28301",,"Broad Acres","3","1","0",".26-.5 Acres","1958","2/25/2021","4/6/2021","19","$29,900","$19,500"
"2383662","RESIDENTIAL","Single Family Residence","302 Harris Street","Henderson","27536",,"Not in a Subdivision","2","1","1,070",".26-.5 Acres","1950","5/13/2021","6/10/2021","5","$16,500","$21,000"
"116680","RESIDENTIAL","Single Family Residence","405 Lakeside Avenue","Burlington","27217",,,"2","2","0","0-.25 Acres","1935","3/10/2021","6/4/2021","54","$29,800","$23,000"
"2377795","RESIDENTIAL","Single Family Residence","504 SE New Bern Street","Wilson","27893",,"Not in a Subdivision","3","1","1,395","0-.25 Acres","1945","4/15/2021","5/3/2021","12","$29,900","$25,000"
"2371630","RESIDENTIAL","Single Family Residence","4229 Sunset Avenue","Rocky Mount","27804",,"Not in a Subdivision","2","1","811","0-.25 Acres","1910","3/11/2021","5/21/2021","47","$34,900","$25,000"
"117063","RESIDENTIAL","Single Family Residence","618 Eastern Avenue","Other","27801",,,"4","2","0","0-.25 Acres","1921","4/21/2021","5/19/2021","1","$49,000","$27,000"
"2378085","RESIDENTIAL","Single Family Residence","611 Jean Street","Roxboro","27573",,"Not in a Subdivision","2","1","624",".26-.5 Acres","1901","4/16/2021","4/30/2021","10","$28,500","$28,000"
"2256489","RESIDENTIAL","Single Family Residence","5623 Oakley Hill","Oxford","27565",,"Not in a Subdivision","3","1","960","1-2.9 Acres","1994","5/19/2019","4/1/2021","299","$36,000","$28,000"
"2373303","RESIDENTIAL","Manufactured","126 Falcon Drive","Pikeville","27863",,"Falcon Acres","3","2","1,512",".51-.75 Acres","1988","3/21/2021","6/14/2021","74","$35,000","$28,000"
"2377249","RESIDENTIAL","Single Family Residence","624 Roberson Street","Henderson","27536",,"Not in a Subdivision","2","1","1,190",".26-.5 Acres","1950","4/12/2021","4/28/2021","7","$35,000","$28,500"
"LP656695","RESIDENTIAL","Single Family Residence","107 Kensington Circle","Fayetteville","28301",,,"2","1","0",,"1941","5/13/2021","6/1/2021","1","$29,000","$30,000"
