"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2539068","RESIDENTIAL","Single Family Residence","116 Dowtin Street","Warrenton","27589",,"Not in a Subdivision","3","2","1,367",".26-.5 Acres","1981","10/26/2023","12/20/2023","26","$365,000","$345"
"2536097","RESIDENTIAL","Townhouse","2821 Plumfield Place","Raleigh","27607",,"Wade Avenue Townhomes","2","3","1,686","0-.25 Acres","2015","10/6/2023","10/11/2023","5","$2,200","$2,200"
"LP715782","RESIDENTIAL","Condo","3371 Galleria Drive","Fayetteville","28303",,,"2","2","0",,"1992","11/11/2023","11/21/2023","0","$85,000","$8,500"
"LP714592","RESIDENTIAL","Single Family Residence","602 Duncan Street","Laurinburg","28352",,,"2","1","0",,"1946","10/13/2023","12/8/2023","53","$27,500","$10,000"
"128414","RESIDENTIAL","Other","N/A Long Street","Graham","27253",,,,"0","0",,,"8/25/2023","12/29/2023","115","$15,000","$12,000"
"LP715056","RESIDENTIAL","Other","37 Patton Lane","Cameron","28326",,,"3","2","0",".26-.5 Acres","2000","10/25/2023","11/6/2023","12","$12,995","$12,995"
"2518367","RESIDENTIAL","Single Family Residence","1122 Star Street","Rocky Mount","27804",,"Not in a Subdivision","1","1","556","0-.25 Acres","1910","6/20/2023","10/12/2023","86","$20,000","$15,000"
"2512842","RESIDENTIAL","Single Family Residence","622 E Grand Avenue","Rocky Mount","27801",,"Not in a Subdivision","2","1","834","0-.25 Acres","1900","5/25/2023","11/20/2023","161","$26,800","$17,000"
"2528845","RESIDENTIAL","Single Family Residence","335 N Commerce Street","Aulander","27805",,"Mitchell","2","1","1,131",".26-.5 Acres","1836","8/24/2023","10/13/2023","22","$22,900","$19,000"
"2535779","RESIDENTIAL","Single Family Residence","210 East Street","Wilson","27893",,"Not in a Subdivision","2","1","739","0-.25 Acres","1910","10/4/2023","10/24/2023","7","$24,900","$21,000"
"LP705619","RESIDENTIAL","Single Family Residence","113 Oak Street","Red Springs","28377",,,"2","1","0",".26-.5 Acres","1960","6/11/2023","12/1/2023","172","$49,900","$25,000"
"2540456","RESIDENTIAL","Single Family Residence","1443 Delaware Avenue","Eden","27288",,"Not in a Subdivision","2","1","962",".26-.5 Acres","1920","11/3/2023","11/24/2023","5","$25,000","$25,000"
"128161","RESIDENTIAL","Other","806 High Street","Burlington","27215",,,,"0","0","0-.25 Acres",,"7/25/2023","12/7/2023","34","$29,900","$26,000"
"2533992","RESIDENTIAL","Single Family Residence","411 S Church Street","Mount Olive","28365",,"Not in a Subdivision","2","1","720",".26-.5 Acres","1954","9/25/2023","11/6/2023","13","$45,000","$28,000"
"LP712715","RESIDENTIAL","Single Family Residence","411 Church Street","Mount Olive","28365",,,"2","1","0",".26-.5 Acres","1954","9/25/2023","11/6/2023","13","$45,000","$28,000"
"LP708815","RESIDENTIAL","Manufactured","116 Little Rod Road","Lumberton","28358",,,"2","2","0",,"1968","7/26/2023","10/12/2023","50","$50,000","$30,000"
"LP715258","RESIDENTIAL","Single Family Residence","207 S Cross Street","Warsaw","28398",,,"2","1","0",,"1940","10/31/2023","12/18/2023","1","$30,000","$30,000"
"128772","RESIDENTIAL","Single Family Residence","903 E Davis Street","Burlington","27215",,,"1","1","0","0-.25 Acres","1940","10/18/2023","11/8/2023","21","$55,000","$30,000"
"2535820","RESIDENTIAL","Single Family Residence","909 - 911 Atlantic Street","Wilson","27893",,"Not in a Subdivision","2","2","1,668","0-.25 Acres","1910","10/5/2023","11/3/2023","6","$37,900","$30,000"
"2535784","RESIDENTIAL","Single Family Residence","917 Atlantic Street","Wilson","27893",,"Not in a Subdivision","2","1","1,051","0-.25 Acres","1910","10/5/2023","11/3/2023","6","$29,900","$30,000"
"2528890","RESIDENTIAL","Single Family Residence","405 Branch Street","Enfield","27823",,"Not in a Subdivision","3","1","1,296","0-.25 Acres","1950","8/25/2023","11/30/2023","59","$40,000","$31,500"
"LP709719","RESIDENTIAL","Manufactured","3566 Oakgrove Church Road","Lumberton","28360",,,"3","2","0",,"1993","8/9/2023","10/19/2023","30","$44,900","$32,000"
"LP712474","RESIDENTIAL","Single Family Residence","83 Marion Road","Lumberton","28358",,,"3","1","0",,"1959","9/20/2023","12/21/2023","71","$39,900","$32,000"
"2538174","RESIDENTIAL","Manufactured","6998 NC 97 Highway","Battleboro","27809",,"Not in a Subdivision","4","2","1,620",".51-.75 Acres","2000","10/19/2023","11/30/2023","34","$50,000","$32,500"
"2524400","RESIDENTIAL","Single Family Residence","107 Roberson Avenue","Williamston","27892",,"Not in a Subdivision","3","1","1,197","0-.25 Acres","1982","7/31/2023","10/5/2023","49","$36,000","$34,000"
"2534403","RESIDENTIAL","Single Family Residence","915 Mitchell Street","Rocky Mount","27801",,"Hargrove Estates","2","1","1,238","0-.25 Acres","1927","9/28/2023","10/17/2023","4","$40,000","$34,000"
"LP709786","RESIDENTIAL","Manufactured","3059 Mcleod Drive","Maxton","28364",,,"3","2","0","1-2.9 Acres","1995","8/15/2023","10/3/2023","35","$39,900","$35,000"
"2533368","RESIDENTIAL","Single Family Residence","822 Eaton Street","Henderson","27536",,"Not in a Subdivision","2","1","880","0-.25 Acres","1955","9/21/2023","10/3/2023","3","$27,000","$35,000"
"2531561","RESIDENTIAL","Single Family Residence","1504 Lawrence Lane","Kinston","28501",,"Lenoir","2","1","789","0-.25 Acres","1956","9/11/2023","11/22/2023","21","$50,000","$35,000"
"2532559","RESIDENTIAL","Single Family Residence","915 Lancaster Street","Rocky Mount","27801",,"Not in a Subdivision","2","1","826","0-.25 Acres","1940","9/15/2023","10/3/2023","4","$40,000","$38,000"
"LP712367","RESIDENTIAL","Manufactured","233 Draper Road","Fayetteville","28312",,,"2","1","0",,"1987","9/18/2023","10/5/2023","4","$42,000","$38,000"
"2541001","RESIDENTIAL","Single Family Residence","1609 S John Street","Goldsboro","27530",,"Not in a Subdivision","3","1","900",".26-.5 Acres","1955","11/7/2023","11/30/2023","10","$45,000","$38,535"
"LP706312","RESIDENTIAL","Single Family Residence","4817 Long Green Drive","Wake Forest","27587",,,"3","2","0",".51-.75 Acres","1976","6/23/2023","12/13/2023","98","$74,900","$39,000"
"LP711597","RESIDENTIAL","Manufactured","21421 Bridle Path Dr. Drive","Laurinburg","28352",,,"2","2","0",,"1997","8/31/2023","11/1/2023","28","$45,000","$40,000"
"2514507","RESIDENTIAL","Single Family Residence","196 Gates Lane","Raeford","28376",,"Not in a Subdivision","3","1","1,058","0-.25 Acres","1961","6/3/2023","11/20/2023","114","$50,000","$40,000"
"2525298","RESIDENTIAL","Single Family Residence","602 Dexter Street","Rocky Mount","27803",,"Not in a Subdivision","3","1","956","0-.25 Acres","1910","8/4/2023","10/19/2023","11","$50,000","$40,000"
"2533900","RESIDENTIAL","Single Family Residence","419 Atlantic Avenue","Rocky Mount","27801",,"Not in a Subdivision","2","1","2,300",,"1955","9/24/2023","11/29/2023","14","$45,900","$42,000"
"2533725","RESIDENTIAL","Single Family Residence","602 High Street","Henderson","27536",,"Not in a Subdivision","2","1","576","0-.25 Acres","1960","9/22/2023","10/16/2023","1","$40,000","$42,500"
"LP708592","RESIDENTIAL","Single Family Residence","6682 Goldsboro Road","Wade","28395",,,"3","2","0",,"1963","7/21/2023","10/6/2023","66","$59,000","$45,000"
"LP714810","RESIDENTIAL","Single Family Residence","319 Grant Street","Laurinburg","28352",,,"2","1","0",,"1985","10/19/2023","12/8/2023","47","$65,000","$45,000"
"2536147","RESIDENTIAL","Single Family Residence","1227 E Martin Luther King Jr Drive","Maxton","28364",,"Not in a Subdivision","2","1","840",".26-.5 Acres","1961","10/7/2023","10/27/2023","4","$45,000","$45,000"
"2533749","RESIDENTIAL","Single Family Residence","556 High Street","Henderson","27536",,"Not in a Subdivision","3","1","768","0-.25 Acres","1965","9/22/2023","10/23/2023","1","$47,500","$47,500"
"2535831","RESIDENTIAL","Single Family Residence","200 Washington Street","Garysburg","27831",,"Not in a Subdivision","3","1","1,120","0-.25 Acres","1961","10/5/2023","12/7/2023","47","$67,900","$48,000"
"2530438","RESIDENTIAL","Manufactured","100 Bunnie Huff Road","Oxford","27565",,"Not in a Subdivision","2","1","1,219","1-2.9 Acres","1970","9/5/2023","10/9/2023","9","$69,900","$50,000"
"LP712254","RESIDENTIAL","Single Family Residence","1032 Old Us 421","Lillington","27546",,,"3","1","0",".76-.99 Acres","1955","9/15/2023","10/20/2023","3","$50,000","$50,000"
