"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"2472345","RESIDENTIAL","Single Family Residence","1721 Thru Street","Rocky Mount","27801",,"Hargrove Estates","2","1","727","0-.25 Acres","1950","9/3/2022","12/22/2022","110","$34,500","$15,000"
"2474046","RESIDENTIAL","Single Family Residence","1705 Ivey Street","Roanoke Rapids","27870",,"Not in a Subdivision","1","0","1,066","0-.25 Acres","1940","9/14/2022","12/22/2022","54","$17,500","$15,000"
"2481082","RESIDENTIAL","Single Family Residence","311 Scotsville Street","Columbia","27925",,"Not in a Subdivision","2","1","884",".51-.75 Acres","1940","10/22/2022","12/23/2022","41","$20,000","$15,000"
"2486151","RESIDENTIAL","Single Family Residence","99 N Mayo Street","Snow Hill","28580",,"Not in a Subdivision","2","1","501","0-.25 Acres","1950","12/5/2022","12/30/2022","8","$24,000","$19,000"
"2408371","RESIDENTIAL","Single Family Residence","201 N Garden Avenue","Siler City","27344",,"Not in a Subdivision","2","1","875","0-.25 Acres","1950","9/17/2021","10/28/2022","0","$20,000","$20,000"
"LP693858","RESIDENTIAL","Single Family Residence","5316 South Forty Drive","Fayetteville","28348",,,"3","2","0",".26-.5 Acres","1991","10/18/2022","11/8/2022","3","$20,000","$20,000"
"2471176","RESIDENTIAL","Single Family Residence","513 Atlantic Avenue","Rocky Mount","27801",,"Not in a Subdivision","3","1","1,220",".26-.5 Acres","1955","8/27/2022","12/20/2022","94","$35,000","$22,000"
"2471344","RESIDENTIAL","Single Family Residence","423 Atlantic Avenue","Rocky Mount","27801",,"Not in a Subdivision","4","2","2,110",".26-.5 Acres","1935","8/29/2022","10/10/2022","39","$35,000","$25,000"
"2474529","RESIDENTIAL","Single Family Residence","451 E Winder Street","Henderson","27536",,"Not in a Subdivision","2","1","539","0-.25 Acres","1950","9/16/2022","12/1/2022","54","$30,000","$25,000"
"2477301","RESIDENTIAL","Single Family Residence","625 S Slocumb Street","Goldsboro","27530",,"To Be Added","3","1","1,021","0-.25 Acres","1930","9/29/2022","10/31/2022","13","$35,000","$28,000"
"2480490","RESIDENTIAL","Single Family Residence","1222 N Center Street","Goldsboro","27530",,"Not in a Subdivision","2","1","968","0-.25 Acres","1925","10/22/2022","11/4/2022","5","$30,000","$30,000"
"2476723","RESIDENTIAL","Single Family Residence","1297 Veachs Mill Road","Warsaw","28398",,"Not in a Subdivision","3","1","1,280",".51-.75 Acres","1940","9/27/2022","12/20/2022","49","$49,627","$30,000"
"2480255","RESIDENTIAL","Single Family Residence","409 Birch Street","Henderson","27536",,"Not in a Subdivision","2","1","832",".26-.5 Acres","1960","10/21/2022","11/17/2022","4","$43,000","$32,000"
"LP692937","RESIDENTIAL","Single Family Residence","2222 Edgar Street","Fayetteville","28301",,,"3","1","0","11+ Acres","1970","9/28/2022","11/30/2022","7","$32,500","$32,500"
"2467394","RESIDENTIAL","Single Family Residence","839 Branch Street","Rocky Mount","27801",,"Not in a Subdivision","3","1","1,294","0-.25 Acres","1912","8/8/2022","10/28/2022","31","$37,900","$33,000"
"2480632","RESIDENTIAL","Manufactured","251, 253 Haley Street","Warrenton","27589",,"To Be Added","2","1","700",".26-.5 Acres","1979","10/24/2022","11/18/2022","5","$25,000","$35,500"
"LP691915","RESIDENTIAL","Single Family Residence","510 Dail Street","Goldsboro","27530",,,"2","2","0","0-.25 Acres","1955","8/25/2022","10/7/2022","20","$40,000","$36,000"
"2486989","RESIDENTIAL","Single Family Residence","330 W Rockspring Street","Henderson","27536",,"Not in a Subdivision","2","1","832","0-.25 Acres","1950","12/12/2022","12/30/2022","3","$25,000","$36,500"
"2466111","RESIDENTIAL","Single Family Residence","405 Hadley Street","Wilson","27893",,"Not in a Subdivision","2","1","1,140","0-.25 Acres","1953","8/2/2022","10/6/2022","20","$40,000","$36,500"
"2480835","RESIDENTIAL","Manufactured","268 Tacia Drive","Lillington","27546",,"Not in a Subdivision","3","2","896","1-2.9 Acres","1997","10/25/2022","11/8/2022","0","$40,000","$40,000"
