"MLS #","Class","Property Type","Address","City","Zip","Neighborhood","Subdivision","Bedrooms","Total Baths","Total Living Area SqFt","Acres","Year Built","List Date","Closing Date","Days On Market","List Price","Sold Price"
"LP704887","RESIDENTIAL","Single Family Residence","4320 Falls Drive","Hope Mills","28348",,,"3","2","0",,"1993","5/25/2023","9/11/2023","9","$220,000","$221"
"LP708273","RESIDENTIAL","Other","237 Americus Drive","Fayetteville","28312",,"Eastgate","2","1","0","0-.25 Acres","1984","7/15/2023","8/14/2023","27","$4,000","$2,000"
"LP710192","RESIDENTIAL","Other","130 Joy Drive","Fayetteville","28312",,"Eastgate","2","2","0",,"0","8/23/2023","9/2/2023","7","$9,995","$10,000"
"LP707945","RESIDENTIAL","Single Family Residence","212 N Virginia Street","Goldsboro","27530",,,"3","2","0",,"1900","7/8/2023","9/13/2023","34","$45,000","$18,000"
"LP707948","RESIDENTIAL","Single Family Residence","209 Whitfield Drive","Goldsboro","27530",,,"2","1","0",,"1900","7/8/2023","9/21/2023","22","$30,000","$19,250"
"LP707947","RESIDENTIAL","Single Family Residence","207 Whitfield Drive","Goldsboro","27530",,,"2","1","0",,"1962","7/8/2023","9/21/2023","22","$30,000","$19,250"
"LP709757","RESIDENTIAL","Other","95 Sherry Lane","Spring Lake","28390",,,"3","2","0",,"1988","7/18/2023","8/15/2023","0","$20,000","$20,000"
"2511111","RESIDENTIAL","Single Family Residence","618 Viola Street","Wilson","27893",,"Not in a Subdivision","1","1","715","0-.25 Acres","1940","5/16/2023","8/8/2023","62","$29,900","$21,000"
"2511118","RESIDENTIAL","Single Family Residence","620 Viola Street","Wilson","27893",,"Not in a Subdivision","1","1","556","0-.25 Acres","1940","5/16/2023","8/8/2023","62","$29,900","$21,000"
"2519045","RESIDENTIAL","Single Family Residence","1103 E Holly Street","Rocky Mount","27801",,"Not in a Subdivision","1","1","875","0-.25 Acres","1945","6/20/2023","9/18/2023","83","$28,999","$23,000"
"2482097","RESIDENTIAL","Single Family Residence","51 E Carroll Street","Turkey","28393",,"Not in a Subdivision","2","1","550",".26-.5 Acres","1960","11/1/2022","8/2/2023","159","$59,900","$25,000"
"2526789","RESIDENTIAL","Single Family Residence","506 Hickory Street","Henderson","27536",,"Not in a Subdivision","2","1","812","0-.25 Acres","1950","8/13/2023","9/11/2023","23","$45,000","$27,000"
"LP707954","RESIDENTIAL","Other","205 KUMQUAT Street","Fayetteville","28306",,,"3","2","0",,"1999","7/9/2023","7/15/2023","4","$25,000","$28,000"
"LP708402","RESIDENTIAL","Single Family Residence","129 Lock trail","Fayetteville","28312",,,"2","1","0",,"1941","6/20/2023","7/17/2023","34","$28,500","$28,500"
"LP708297","RESIDENTIAL","Single Family Residence","140 Sycamore Lane","Raeford","28376",,"Forest View","3","3","0",,"2007","7/19/2023","9/11/2023","6","$280,000","$28,700"
"2512403","RESIDENTIAL","Single Family Residence","508 Cokey Road","Rocky Mount","27801",,"Not in a Subdivision","2","1","1,290","0-.25 Acres","1910","5/23/2023","8/7/2023","21","$35,000","$30,000"
"2528127","RESIDENTIAL","Manufactured","63 Draper Road","Chase City","23924",,"Not in a Subdivision","2","2","600","3-5.9 Acres","2002","8/21/2023","9/22/2023","23","$40,000","$30,000"
"2521964","RESIDENTIAL","Single Family Residence","630 Viola Street","Wilson","27893",,"Not in a Subdivision","2","1","1,035","0-.25 Acres","1940","7/17/2023","8/3/2023","11","$35,000","$30,000"
"2526703","RESIDENTIAL","Single Family Residence","605 Center Street","Rocky Mount","27803",,"Not in a Subdivision","2","1","1,000","0-.25 Acres","1910","8/11/2023","9/14/2023","12","$33,500","$33,500"
"LP708447","RESIDENTIAL","Single Family Residence","3050 Hwy 401 Business Highway","Raeford","28376",,,"2","1","0",,"1955","7/18/2023","8/11/2023","8","$45,000","$34,000"
"2512698","RESIDENTIAL","Single Family Residence","335 S Grace Street","Rocky Mount","27804",,"Not in a Subdivision","3","2","1,770","0-.25 Acres","1910","5/24/2023","8/11/2023","60","$34,000","$34,000"
"2506110","RESIDENTIAL","Single Family Residence","310 E Hackney Street","Wilson","27893",,"Railroad Ward","1","1","704","0-.25 Acres","1940","4/20/2023","8/8/2023","103","$35,900","$34,000"
"2504828","RESIDENTIAL","Single Family Residence","242 Park Avenue","Rocky Mount","27801",,"Not in a Subdivision","2","2","1,018",".26-.5 Acres","1940","4/4/2023","7/12/2023","77","$43,900","$34,500"
"2518019","RESIDENTIAL","Single Family Residence","530 Center Street","Rocky Mount","27803",,"Not in a Subdivision","2","1","1,296","0-.25 Acres","1910","6/23/2023","7/10/2023","8","$49,000","$35,500"
"2511552","RESIDENTIAL","Single Family Residence","2441 S Church Street","Rocky Mount","27803",,"Not in a Subdivision","2","1","934","0-.25 Acres","1910","5/18/2023","9/11/2023","71","$50,000","$37,000"
"2524138","RESIDENTIAL","Single Family Residence","614 20th Street","Butner","27509",,"Not in a Subdivision","3","2","1,584",".26-.5 Acres","2020","7/28/2023","7/28/2023","0","$37,000","$37,000"
"LP705007","RESIDENTIAL","Single Family Residence","3453 Atkinson Road","Orrum","28369",,,"3","1","0",".51-.75 Acres","1966","6/2/2023","9/7/2023","45","$60,000","$40,000"
"2517842","RESIDENTIAL","Single Family Residence","608 Chester Street","Rocky Mount","27804",,"Not in a Subdivision","2","1","936","0-.25 Acres","1910","6/22/2023","9/22/2023","68","$45,000","$40,000"
"2530269","RESIDENTIAL","Single Family Residence","4 Front Street","Red Springs","28377",,"Not in a Subdivision","3","1","1,042","0-.25 Acres","1925","9/2/2023","9/22/2023","3","$39,500","$40,000"
"LP706372","RESIDENTIAL","Single Family Residence","1915 Progress Street","Fayetteville","28306",,,"2","2","0","0-.25 Acres","1935","6/27/2023","9/7/2023","21","$60,000","$41,000"
"LP702367","RESIDENTIAL","Manufactured","108 Deangelo Road","Maxton","28364",,,"3","2","0",,"1998","4/22/2023","8/1/2023","88","$75,000","$42,500"
"2516515","RESIDENTIAL","Single Family Residence","604 White Oak Drive","Edenton","27932",,"Cape Cottages","3","1","2,744","0-.25 Acres","1982","6/15/2023","7/21/2023","36","$65,000","$42,500"
"LP708467","RESIDENTIAL","Single Family Residence","4991 Saint Pauls Drive","Raeford","28376",,,"3","1","0","1-2.9 Acres","1943","7/18/2023","9/27/2023","27","$44,900","$43,000"
"LP709196","RESIDENTIAL","Other","6005 Paddy Hollow Court","Fayetteville","28312",,,"3","2","0",,"1997","8/2/2023","9/1/2023","3","$50,000","$43,000"
"2495412","RESIDENTIAL","Single Family Residence","713 S Pine Street","Rocky Mount","27803",,"Not in a Subdivision","3","2","1,471","0-.25 Acres","1962","2/16/2023","7/5/2023","24","$44,000","$43,000"
"2521627","RESIDENTIAL","Single Family Residence","280 Chavasse Avenue","Henderson","27536",,"Not in a Subdivision","3","1","1,800",".26-.5 Acres","1950","7/13/2023","8/10/2023","1","$49,000","$43,000"
"LP705718","RESIDENTIAL","Manufactured","96 Coy Road","Saint Pauls","28384",,,"3","2","0",,"1998","6/13/2023","9/21/2023","44","$46,000","$45,000"
"LP707928","RESIDENTIAL","Single Family Residence","214 6th Street","Spring Lake","28390",,,"3","1","0",,"1959","7/8/2023","8/2/2023","12","$55,000","$45,000"
"2518510","RESIDENTIAL","Single Family Residence","106 Old Durham Road","Leasburg","27291",,"Not in a Subdivision","3","1","984","1-2.9 Acres","1974","6/26/2023","7/11/2023","1","$45,000","$45,000"
"2524448","RESIDENTIAL","Single Family Residence","530 Center Street","Rocky Mount","27803",,"Not in a Subdivision","2","1","1,296","0-.25 Acres","1910","7/31/2023","8/17/2023","3","$45,000","$45,000"
