Mortgage Rates,Zip,Bedrooms,Total Baths,SqFt,Acres,Year Built,List Price,Sold Price,Days on Market,Over Asking,Lat,Lon,Cluster
2.97,27510,2,2,909,1,1979,249000,253000,37,4000,35.9055,-79.0901,1
2.97,27604,3,4,1808,1,2016,330000,333000,46,3000,35.8334,-78.5799,3
2.97,27502,2,2,1632,1,2015,369900,372000,28,2100,35.7225,-78.8408,0
2.97,27617,2,2,1535,1,2007,238000,240000,188,2000,35.9034,-78.7447,3
2.97,27617,3,3,2012,1,2013,379900,380900,42,1000,35.9034,-78.7447,3
2.97,27606,4,4,1219,1,1998,199900,200000,24,100,35.7645,-78.7112,0
2.97,27613,3,3,1576,1,1995,239900,240000,53,100,35.8949,-78.7051,3
2.97,27511,2,1,700,1,1981,137000,137000,27,0,35.7641,-78.7786,0
2.97,27514,2,3,1168,1,1984,155000,155000,40,0,35.9203,-79.0372,1
2.97,27615,3,3,1672,1,1979,140000,140000,42,0,35.8887,-78.6393,3
2.97,27606,3,2,1225,1,1972,130000,130000,35,0,35.7645,-78.7112,0
2.97,27587,3,2,1205,1,1854,285000,285000,38,0,35.9815,-78.5392,3
2.97,27705,3,3,1470,1,2002,247000,247000,23,0,36.0218,-78.9478,1
2.97,27615,2,3,1167,1,1985,185000,185000,47,0,35.8887,-78.6393,3
2.97,27701,3,2,1146,1,1991,160000,160000,349,0,35.9967,-78.8966,1
2.97,27605,2,2,1433,1,1985,395000,394000,122,-1000,35.7908,-78.653,0
2.97,27606,1,1,350,1,1986,69000,67000,26,-2000,35.7645,-78.7112,0
2.97,27703,2,1,960,1,1987,69000,66000,30,-3000,35.9781,-78.8439,1
2.97,27517,2,3,1020,1,1991,212000,209000,120,-3000,35.9182,-79.0035,1
2.97,27510,2,1,907,1,1968,210000,205000,115,-5000,35.9055,-79.0901,1
2.97,27601,2,2,1304,1,2018,535000,530000,1110,-5000,35.7727,-78.6324,0
2.97,27703,2,2,1261,1,2012,230000,225000,49,-5000,35.9781,-78.8439,1
2.97,27617,2,2,1266,1,2005,215000,209100,38,-5900,35.9034,-78.7447,3
2.97,27613,2,2,1418,1,2004,240000,232000,34,-8000,35.8949,-78.7051,3
2.97,27605,1,1,722,1,1986,235000,225000,124,-10000,35.7908,-78.653,0
2.97,27603,3,3,1740,1,2004,221000,211000,45,-10000,35.7076,-78.6563,0
2.97,27612,2,2,1392,1,2007,375000,362000,50,-13000,35.852,-78.6841,3
2.97,27513,2,2,1049,1,1985,189000,175000,46,-14000,35.7956,-78.7941,0
3.02,27511,2,1,704,1,1980,145000,153000,21,8000,35.7641,-78.7786,0
3.02,27601,2,3,1542,1,2018,574500,580000,35,5500,35.7727,-78.6324,0
3.02,27587,3,3,1742,1,1997,285000,290133,51,5133,35.9815,-78.5392,3
3.02,27514,2,3,1168,1,1985,159900,165000,61,5100,35.9203,-79.0372,1
3.02,27617,2,2,1363,1,2021,349900,355000,166,5100,35.9034,-78.7447,3
3.02,27609,2,2,1041,1,1999,200000,205000,33,5000,35.848,-78.6317,3
3.02,27605,2,2,971,1,1986,309900,313000,31,3100,35.7908,-78.653,0
3.02,27609,3,2,1255,1,1966,265000,267000,82,2000,35.848,-78.6317,3
3.02,27701,2,2,1192,1,1933,495000,495000,48,0,35.9967,-78.8966,1
3.02,27511,1,2,960,1,2020,335000,335000,400,0,35.7641,-78.7786,0
3.02,27511,2,2,1440,1,2003,360000,360000,48,0,35.7641,-78.7786,0
3.02,27603,4,4,1391,1,2002,199900,198000,57,-1900,35.7076,-78.6563,0
3.02,27604,2,2,1065,1,2006,190000,187500,40,-2500,35.8334,-78.5799,3
3.02,27513,2,2,1260,1,1986,200500,197500,29,-3000,35.7956,-78.7941,0
3.02,27560,2,2,1042,1,2000,210000,207000,77,-3000,35.8344,-78.8466,1
3.02,27703,1,2,1067,1,2008,187500,184000,86,-3500,35.9781,-78.8439,1
3.02,27517,2,3,1377,1,1993,190000,185000,73,-5000,35.9182,-79.0035,1
3.02,27511,2,2,1192,1,1981,195000,190000,121,-5000,35.7641,-78.7786,0
3.02,27705,1,1,425,2,1985,60000,55000,512,-5000,36.0218,-78.9478,1
3.02,27605,1,1,518,1,1953,185000,179000,109,-6000,35.7908,-78.653,0
3.02,27603,1,1,950,1,2008,314900,308000,73,-6900,35.7076,-78.6563,0
3.02,27603,2,2,1270,1,2005,494900,487500,117,-7400,35.7076,-78.6563,0
3.02,27612,2,2,1031,1,1985,195000,185000,48,-10000,35.852,-78.6841,3
3.02,27607,2,3,1804,1,2006,375000,364000,100,-11000,35.8014,-78.6877,0
3.02,27601,3,2,1600,1,2018,703500,692218,950,-11282,35.7727,-78.6324,0
3.02,27601,1,2,790,1,1997,325000,313000,66,-12000,35.7727,-78.6324,0
3.02,27517,2,2,1292,1,2001,319000,305000,28,-14000,35.9182,-79.0035,1
3.02,27701,1,1,886,1,2018,400000,375000,144,-25000,35.9967,-78.8966,1
3.02,27701,2,2,1360,1,2017,735000,675000,211,-60000,35.9967,-78.8966,1
3.05,27601,3,3,2863,1,2019,1470000,1489955,783,19955,35.7727,-78.6324,0
3.05,27701,1,1,654,1,2009,285000,300000,27,15000,35.9967,-78.8966,1
3.05,27215,2,2,1224,1,1979,105000,118000,38,13000,36.0318,-79.4889,2
3.05,27603,2,2,935,1,1999,135000,144500,16,9500,35.7076,-78.6563,0
3.05,27601,3,3,2212,1,2018,1139000,1146229,1119,7229,35.7727,-78.6324,0
3.05,27215,2,2,1253,1,1999,127000,133000,36,6000,36.0318,-79.4889,2
3.05,27516,2,1,946,1,2006,299000,304500,32,5500,35.9162,-79.0999,1
3.05,27514,2,2,1296,1,2004,225000,228000,31,3000,35.9203,-79.0372,1
3.05,27610,2,2,917,1,1986,99000,102000,62,3000,35.7667,-78.6008,0
3.05,27617,2,2,1546,1,2009,235000,238000,121,3000,35.9034,-78.7447,3
3.05,27513,2,3,1370,1,1985,195000,196000,35,1000,35.7956,-78.7941,0
3.05,27601,2,3,1530,1,2018,560000,560000,46,0,35.7727,-78.6324,0
3.05,27617,3,3,2116,1,2015,335000,335000,132,0,35.9034,-78.7447,3
3.05,27603,2,2,912,1,1987,155000,155000,14,0,35.7076,-78.6563,0
3.05,27603,3,2,1118,1,1999,150000,150000,54,0,35.7076,-78.6563,0
3.05,27516,2,2,1177,1,2009,399000,399000,124,0,35.9162,-79.0999,1
3.05,27517,2,2,1145,1,2008,409000,409000,153,0,35.9182,-79.0035,1
3.05,27516,2,2,1320,1,1998,300000,300000,33,0,35.9162,-79.0999,1
3.05,27612,2,2,968,1,1985,175000,172500,56,-2500,35.852,-78.6841,3
3.05,27215,2,1,750,1,1950,85000,80000,25,-5000,36.0318,-79.4889,2
3.05,27605,2,2,994,1,1986,295000,290000,29,-5000,35.7908,-78.653,0
3.05,27302,2,2,1167,1,1998,195000,189250,50,-5750,36.0979,-79.2719,2
3.05,27514,2,2,1216,1,2006,252500,246000,55,-6500,35.9203,-79.0372,1
3.05,27603,2,2,1164,1,2006,491500,485000,61,-6500,35.7076,-78.6563,0
3.05,27604,3,3,1240,1,1975,159900,142500,78,-17400,35.8334,-78.5799,3
3.05,27601,1,2,942,1,2007,289000,270000,111,-19000,35.7727,-78.6324,0
3.05,27516,1,1,850,1,2002,250000,227000,34,-23000,35.9162,-79.0999,1
3.05,27601,4,3,3032,1,2004,900000,860000,319,-40000,35.7727,-78.6324,0
3.05,27701,3,4,2656,1,1930,1275000,1225000,34,-50000,35.9967,-78.8966,1
3.09,27613,2,3,1381,1,1984,185000,202500,19,17500,35.8949,-78.7051,3
3.09,27502,2,1,1019,1,2003,200000,211000,22,11000,35.7225,-78.8408,0
3.09,27616,3,3,1605,1,2005,180000,190000,35,10000,35.8673,-78.5381,3
3.09,27605,2,3,1253,1,1949,325000,335000,40,10000,35.7908,-78.653,0
3.09,27713,2,2,1150,1,1983,165000,175000,34,10000,35.9112,-78.9178,1
3.09,27560,3,2,1262,1,2001,200000,210000,32,10000,35.8344,-78.8466,1
3.09,27605,2,1,725,1,1949,260000,269000,33,9000,35.7908,-78.653,0
3.09,27713,1,1,670,1,1986,111000,119500,36,8500,35.9112,-78.9178,1
3.09,27514,2,3,1401,1,1974,149900,157000,56,7100,35.9203,-79.0372,1
3.09,27606,3,3,1411,1,1984,225000,232000,64,7000,35.7645,-78.7112,0
3.09,27514,2,2,939,1,1967,160000,167000,55,7000,35.9203,-79.0372,1
3.09,27606,4,4,1219,1,1998,199000,206000,15,7000,35.7645,-78.7112,0
3.09,27516,3,2,1454,1,1970,238500,245000,39,6500,35.9162,-79.0999,1
3.09,27511,2,1,768,1,1979,164900,170000,18,5100,35.7641,-78.7786,0
3.09,27612,3,2,1456,1,1972,219900,225000,41,5100,35.852,-78.6841,3
3.09,27613,2,3,1342,1,1996,225000,230000,50,5000,35.8949,-78.7051,3
3.09,27511,2,1,768,1,1980,155000,160000,14,5000,35.7641,-78.7786,0
3.09,27514,2,3,939,1,1967,160000,163000,52,3000,35.9203,-79.0372,1
3.09,27603,4,4,1390,1,2000,185000,187000,21,2000,35.7076,-78.6563,0
3.09,27703,1,2,992,1,2006,180000,182000,60,2000,35.9781,-78.8439,1
3.09,27514,2,2,840,1,1987,197500,197750,31,250,35.9203,-79.0372,1
3.09,27516,2,2,800,1,1987,255900,256000,35,100,35.9162,-79.0999,1
3.09,27604,2,2,904,1,1981,105000,105000,53,0,35.8334,-78.5799,3
3.09,27511,2,2,1210,1,2018,392500,392500,1117,0,35.7641,-78.7786,0
3.09,27605,2,2,1146,1,1985,305000,305000,30,0,35.7908,-78.653,0
3.09,27609,2,2,1001,1,1998,262000,262000,55,0,35.848,-78.6317,3
3.09,27516,2,2,1574,1,2002,345000,343000,69,-2000,35.9162,-79.0999,1
3.09,27517,3,3,2308,1,2005,659000,655000,67,-4000,35.9182,-79.0035,1
3.09,27606,2,3,1103,1,1984,176900,172900,61,-4000,35.7645,-78.7112,0
3.09,27603,2,2,1121,1,2005,479900,475000,268,-4900,35.7076,-78.6563,0
3.09,27703,1,2,1001,1,2006,185000,180000,37,-5000,35.9781,-78.8439,1
3.09,27603,2,2,1231,1,2008,429000,420000,124,-9000,35.7076,-78.6563,0
3.09,27608,3,5,2479,1,2002,759900,750000,262,-9900,35.8077,-78.6463,3
3.09,27513,3,2,1367,1,2007,257900,248000,50,-9900,35.7956,-78.7941,0
3.09,27703,2,1,950,1,1987,65000,55000,42,-10000,35.9781,-78.8439,1
3.09,27703,2,1,950,1,1987,65000,55000,42,-10000,35.9781,-78.8439,1
3.09,27514,2,2,840,1,1987,197500,185000,33,-12500,35.9203,-79.0372,1
3.09,27612,1,2,1250,1,2006,314900,295000,128,-19900,35.852,-78.6841,3
3.17,27513,1,1,721,1,1984,140000,155000,36,15000,35.7956,-78.7941,0
3.17,27601,2,3,1444,1,1986,390000,402000,62,12000,35.7727,-78.6324,0
3.17,27606,1,1,690,1,1985,139500,150000,35,10500,35.7645,-78.7112,0
3.17,27560,3,2,1407,1,2002,235000,245000,36,10000,35.8344,-78.8466,1
3.17,27713,1,1,683,1,1986,115000,125000,23,10000,35.9112,-78.9178,1
3.17,27707,3,3,1702,1,1980,220000,230000,38,10000,35.9631,-78.9315,1
3.17,27603,3,3,1257,1,2002,185000,192000,49,7000,35.7076,-78.6563,0
3.17,27713,2,2,864,1,1986,139000,146000,48,7000,35.9112,-78.9178,1
3.17,27606,4,4,1219,1,1999,203000,210000,14,7000,35.7645,-78.7112,0
3.17,27517,3,3,1450,1,1989,239900,245000,61,5100,35.9182,-79.0035,1
3.17,27609,1,1,650,1,1972,100000,105000,26,5000,35.848,-78.6317,3
3.17,27517,2,2,975,1,1984,165000,170000,49,5000,35.9182,-79.0035,1
3.17,27603,2,2,1382,1,2008,419900,420000,47,100,35.7076,-78.6563,0
3.17,27613,2,2,1452,1,1985,225000,225000,35,0,35.8949,-78.7051,3
3.17,27617,2,2,1551,1,2019,325900,325900,68,0,35.9034,-78.7447,3
3.17,27614,1,2,760,1,2001,155000,155000,38,0,35.9457,-78.6433,3
3.17,27605,1,1,518,1,1953,180000,180000,0,0,35.7908,-78.653,0
3.17,27613,2,2,1440,1,2006,229900,229000,43,-900,35.8949,-78.7051,3
3.17,27713,2,2,1056,1,1964,125000,122000,78,-3000,35.9112,-78.9178,1
3.17,27609,2,3,1368,1,1972,157000,150000,77,-7000,35.848,-78.6317,3
3.17,27605,1,1,500,1,1949,192000,185000,31,-7000,35.7908,-78.653,0
3.17,27615,2,3,1200,1,1985,179500,170000,83,-9500,35.8887,-78.6393,3
3.17,27617,3,4,1879,1,2020,431900,391900,70,-40000,35.9034,-78.7447,3
3.18,27516,2,4,1582,1,2002,375000,411000,40,36000,35.9162,-79.0999,1
3.18,27513,2,2,1168,1,2007,215000,240000,26,25000,35.7956,-78.7941,0
3.18,27605,2,2,914,1,1949,259000,279000,21,20000,35.7908,-78.653,0
3.18,27605,2,2,926,1,1949,255000,274000,33,19000,35.7908,-78.653,0
3.18,27560,3,2,1273,1,2001,209900,227778,33,17878,35.8344,-78.8466,1
3.18,27603,3,3,1712,1,2004,215000,230000,57,15000,35.7076,-78.6563,0
3.18,27614,2,3,1375,1,2002,185000,200000,32,15000,35.9457,-78.6433,3
3.18,27603,4,4,1391,1,2001,192700,205743,15,13043,35.7076,-78.6563,0
3.18,27606,2,2,1074,1,1968,150000,161000,34,11000,35.7645,-78.7112,0
3.18,27612,3,2,1673,1,1972,225000,236000,40,11000,35.852,-78.6841,3
3.18,27609,2,2,951,1,1972,124975,134200,48,9225,35.848,-78.6317,3
3.18,27609,3,3,1548,1,1972,162500,171000,21,8500,35.848,-78.6317,3
3.18,27603,3,2,1100,1,2002,157900,166250,34,8350,35.7076,-78.6563,0
3.18,27513,2,1,960,1,1986,179500,185000,35,5500,35.7956,-78.7941,0
